Term 1,Term 2,Term 3,frequency of trigram,frequency of context (bigram Term1 + Term2),probability of trigram
<s>,Ah,</s>,1,3,0.3333333333333333
Ah,</s>,<s>,1,1,1.0
</s>,<s>,si,1,487,0.002053388090349076
<s>,si,cierto,1,1,1.0
si,cierto,Va,1,1,1.0
cierto,Va,gracias,1,1,1.0
Va,gracias,Rolón,1,2,0.5
gracias,Rolón,</s>,1,1,1.0
<s>,Va,gracias,1,5,0.2
Va,gracias,Emily,1,2,0.5
muchas,gracias,Emily,1,4,0.25
</s>,<s>,import,1,487,0.002053388090349076
<s>,import,spacy,1,1,1.0
import,spacy,</s>,1,1,1.0
spacy,</s>,<s>,1,1,1.0
<s>,#,Función,1,2,0.5
#,Función,para,1,1,1.0
Función,para,normalizar,1,1,1.0
para,normalizar,texto:,1,1,1.0
normalizar,texto:,lematización,1,1,1.0
texto:,lematización,y,1,1,1.0
lematización,y,eliminación,1,1,1.0
y,eliminación,estricta,1,1,1.0
eliminación,estricta,de,1,1,1.0
estricta,de,"artículos,",1,1,1.0
de,"artículos,","preposiciones,",1,1,1.0
"artículos,","preposiciones,",conjunciones,1,1,1.0
"preposiciones,",conjunciones,y,1,1,1.0
conjunciones,y,pronombres,1,1,1.0
y,pronombres,</s>,1,1,1.0
pronombres,</s>,<s>,1,1,1.0
Creo,que,es,1,3,0.3333333333333333
que,es,igual,1,1,1.0
es,igual,como,1,1,1.0
igual,como,lo,1,1,1.0
como,lo,mande,1,1,1.0
lo,mande,antes,1,1,1.0
mande,antes,</s>,1,1,1.0
antes,</s>,<s>,1,1,1.0
<s>,Quedo,chido,1,3,0.3333333333333333
Quedo,chido,Muchas,1,1,1.0
chido,Muchas,gracias,1,1,1.0
Muchas,gracias,Rolon,1,2,0.5
<s>,Vamos,a,1,2,0.5
Vamos,a,presentarlo,1,1,1.0
a,presentarlo,hoy?,1,1,1.0
presentarlo,hoy?,</s>,1,1,1.0
hoy?,</s>,<s>,1,1,1.0
<s>,Con,las,1,3,0.3333333333333333
Con,las,pruebas,1,1,1.0
las,pruebas,que,1,2,0.5
pruebas,que,puso,1,1,1.0
que,puso,en,1,1,1.0
puso,en,el,1,3,0.3333333333333333
en,el,"Teams,",1,13,0.07692307692307693
el,"Teams,",tenemos,1,1,1.0
"Teams,",tenemos,que,1,1,1.0
tenemos,que,poner,1,1,1.0
que,poner,con,1,1,1.0
poner,con,las,1,1,1.0
con,las,10,1,2,0.5
las,10,más,1,2,0.5
10,más,similares,1,1,1.0
más,similares,de,1,1,1.0
similares,de,las,1,1,1.0
de,las,18,1,6,0.16666666666666666
las,18,comparaciones,1,1,1.0
18,comparaciones,de,1,1,1.0
comparaciones,de,cada,1,1,1.0
de,cada,una,1,1,1.0
cada,una,</s>,1,1,1.0
una,</s>,<s>,1,1,1.0
<s>,Entonces,serían,1,5,0.2
Entonces,serían,5,1,1,1.0
serían,5,tablas,1,1,1.0
5,tablas,</s>,1,1,1.0
tablas,</s>,<s>,1,1,1.0
<s>,Si,sólo,1,11,0.09090909090909091
Si,sólo,estaba,1,1,1.0
sólo,estaba,anotando,1,1,1.0
estaba,anotando,lo,1,1,1.0
anotando,lo,que,1,1,1.0
lo,que,dijo,1,8,0.125
que,dijo,el,1,1,1.0
dijo,el,profe,1,1,1.0
el,profe,ahorita,1,6,0.16666666666666666
profe,ahorita,</s>,1,1,1.0
<s>,Ok,según,1,5,0.2
Ok,según,lo,1,1,1.0
según,lo,que,1,1,1.0
lo,que,entendí,1,8,0.125
que,entendí,pues,1,1,1.0
entendí,pues,mañana,1,1,1.0
pues,mañana,no,1,1,1.0
mañana,no,se,1,2,0.5
no,se,va,1,4,0.25
va,a,revisar,1,6,0.16666666666666666
a,revisar,nada,1,1,1.0
revisar,nada,solo,1,1,1.0
nada,solo,para,1,1,1.0
solo,para,aquellos,1,1,1.0
para,aquellos,que,1,1,1.0
aquellos,que,el,1,1,1.0
el,profe,les,1,6,0.16666666666666666
profe,les,hizo,1,1,1.0
les,hizo,alguna,1,1,1.0
hizo,alguna,"observación,",1,1,1.0
alguna,"observación,",ahorita,1,1,1.0
"observación,",ahorita,lo,1,1,1.0
ahorita,lo,que,1,1,1.0
lo,que,queda,1,8,0.125
que,queda,es,1,1,1.0
queda,es,simplemente,1,1,1.0
es,simplemente,subir,1,1,1.0
simplemente,subir,la,1,1,1.0
subir,la,evidencia,1,1,1.0
la,evidencia,al,1,2,0.5
evidencia,al,Teams,1,1,1.0
al,Teams,</s>,1,1,1.0
Teams,</s>,<s>,1,1,1.0
Oigan,y,el,1,2,0.5
y,el,profe,1,6,0.16666666666666666
el,profe,ya,1,6,0.16666666666666666
profe,ya,dió,1,1,1.0
ya,dió,calificaciones,1,1,1.0
dió,calificaciones,de,1,1,1.0
calificaciones,de,primer,1,1,1.0
de,primer,parcial,1,1,1.0
primer,parcial,o,1,1,1.0
parcial,o,dijo,1,1,1.0
o,dijo,algo?,1,1,1.0
dijo,algo?,</s>,1,1,1.0
algo?,</s>,<s>,1,1,1.0
</s>,<s>,"Rolon,",1,487,0.002053388090349076
<s>,"Rolon,",estas,1,1,1.0
"Rolon,",estas,seguro,1,1,1.0
estas,seguro,que,1,1,1.0
seguro,que,funciona,1,1,1.0
que,funciona,bien,1,1,1.0
funciona,bien,el,1,1,1.0
bien,el,codigo?,1,1,1.0
el,codigo?,</s>,1,1,1.0
codigo?,</s>,<s>,1,1,1.0
<s>,Es,que,1,3,0.3333333333333333
Es,que,estoy,1,1,1.0
que,estoy,haciendo,1,1,1.0
estoy,haciendo,las,1,1,1.0
haciendo,las,evidencias,1,1,1.0
las,evidencias,y,1,1,1.0
evidencias,y,comprobando,1,1,1.0
y,comprobando,que,1,1,1.0
comprobando,que,tal,1,1,1.0
que,tal,va,1,1,1.0
tal,va,pero,1,1,1.0
va,pero,si,1,1,1.0
pero,si,tiene,1,1,1.0
si,tiene,similitudes,1,1,1.0
tiene,similitudes,muy,1,1,1.0
similitudes,muy,bajas,1,1,1.0
muy,bajas,y,1,1,1.0
bajas,y,hay,1,1,1.0
y,hay,noticias,1,1,1.0
hay,noticias,que,1,1,1.0
noticias,que,no,1,1,1.0
que,no,tienen,1,2,0.5
no,tienen,ninguna,1,1,1.0
tienen,ninguna,palabra,1,1,1.0
ninguna,palabra,igual.,1,1,1.0
palabra,igual.,</s>,1,1,1.0
igual.,</s>,<s>,1,1,1.0
</s>,<s>,Emily,1,487,0.002053388090349076
<s>,Emily,podrías,1,1,1.0
Emily,podrías,hacer,1,1,1.0
podrías,hacer,las,1,1,1.0
hacer,las,pruebas,1,1,1.0
las,pruebas,con,1,2,0.5
pruebas,con,el,1,1,1.0
con,el,codigo,1,1,1.0
el,codigo,de,1,2,0.5
codigo,de,Axel,1,1,1.0
de,Axel,para,1,1,1.0
Axel,para,saber,1,1,1.0
para,saber,si,1,1,1.0
saber,si,es,1,1,1.0
si,es,normal,1,2,0.5
es,normal,esto?,1,1,1.0
normal,esto?,</s>,1,1,1.0
esto?,</s>,<s>,1,1,1.0
<s>,Oh,ya,1,2,0.5
Oh,ya,vi,1,1,1.0
ya,vi,cual,1,1,1.0
vi,cual,es,1,1,1.0
cual,es,un,1,1,1.0
es,un,"problema,",1,2,0.5
un,"problema,",son,1,1,1.0
"problema,",son,los,1,1,1.0
son,los,"acentos,",1,3,0.3333333333333333
los,"acentos,",no,1,1,1.0
"acentos,",no,los,1,1,1.0
no,los,identifica,1,1,1.0
los,identifica,bien,1,1,1.0
identifica,bien,aunque,1,1,1.0
bien,aunque,sea,1,1,1.0
aunque,sea,la,1,1,1.0
sea,la,misma,1,1,1.0
la,misma,palabra,1,3,0.3333333333333333
misma,palabra,</s>,1,1,1.0
palabra,</s>,<s>,1,1,1.0
</s>,<s>,"Como,",1,487,0.002053388090349076
<s>,"Como,",pero,1,1,1.0
"Como,",pero,ya,1,1,1.0
pero,ya,entregaron,1,2,0.5
ya,entregaron,ustedes,1,1,1.0
entregaron,ustedes,la,1,1,1.0
ustedes,la,evidencia?,1,1,1.0
la,evidencia?,</s>,1,1,1.0
evidencia?,</s>,<s>,1,1,1.0
<s>,Ah,vale,1,3,0.3333333333333333
Ah,vale,va,1,1,1.0
vale,va,</s>,1,1,1.0
va,</s>,<s>,1,1,1.0
<s>,Me,pasan,1,4,0.25
Me,pasan,sus,1,1,1.0
pasan,sus,nombres,1,1,1.0
sus,nombres,completos,1,1,1.0
nombres,completos,por,1,1,1.0
completos,por,fa?,1,1,1.0
por,fa?,</s>,1,1,1.0
fa?,</s>,<s>,1,1,1.0
<s>,Si,también,1,11,0.09090909090909091
Si,también,le,1,1,1.0
también,le,pregunté,1,1,1.0
le,pregunté,por,1,1,1.0
pregunté,por,eso,1,1,1.0
por,eso,ya,1,2,0.5
eso,ya,estaba,1,2,0.5
ya,estaba,haciendo,1,1,1.0
estaba,haciendo,la,1,1,1.0
haciendo,la,evidencia,1,1,1.0
la,evidencia,</s>,1,2,0.5
evidencia,</s>,<s>,1,1,1.0
<s>,Porque,no,1,2,0.5
Porque,no,quiso,1,1,1.0
no,quiso,el,1,1,1.0
quiso,el,profe,1,1,1.0
el,profe,saber,1,6,0.16666666666666666
profe,saber,el,1,1,1.0
saber,el,corpus,1,1,1.0
el,corpus,document?,1,1,1.0
corpus,document?,</s>,1,1,1.0
document?,</s>,<s>,1,1,1.0
<s>,No,las,1,3,0.3333333333333333
No,las,quiere,1,1,1.0
las,quiere,como,1,1,1.0
quiere,como,las,1,1,1.0
como,las,puso,1,1,1.0
las,puso,en,1,1,1.0
en,la,explicación,1,16,0.0625
la,explicación,de,1,1,1.0
explicación,de,la,1,1,1.0
de,la,práctica?,1,5,0.2
la,práctica?,</s>,1,1,1.0
práctica?,</s>,<s>,1,1,1.0
Gracias,Emily,</s>,1,2,0.5
</s>,<s>,Qué,1,487,0.002053388090349076
<s>,Qué,onda,1,1,1.0
Qué,onda,equipo?,1,1,1.0
</s>,<s>,Al,1,487,0.002053388090349076
<s>,Al,parecer,1,1,1.0
Al,parecer,va,1,1,1.0
parecer,va,a,1,1,1.0
va,a,haber,1,6,0.16666666666666666
a,haber,varias,1,1,1.0
haber,varias,prácticas,1,1,1.0
varias,prácticas,de,1,1,1.0
prácticas,de,"equipo,",1,1,1.0
de,"equipo,",entonces,1,1,1.0
"equipo,",entonces,para,1,1,1.0
entonces,para,que,1,1,1.0
que,sea,más,1,2,0.5
sea,más,dinámico,1,1,1.0
más,dinámico,nuestro,1,1,1.0
dinámico,nuestro,trabajo,1,1,1.0
nuestro,trabajo,cree,1,1,1.0
trabajo,cree,una,1,1,1.0
cree,una,carpeta,1,1,1.0
una,carpeta,de,1,1,1.0
carpeta,de,Drive,1,3,0.3333333333333333
de,Drive,para,1,1,1.0
Drive,para,hacer,1,1,1.0
para,hacer,los,1,2,0.5
hacer,los,reportes,1,1,1.0
los,reportes,en,1,2,0.5
reportes,en,caso,1,1,1.0
en,caso,que,1,1,1.0
caso,que,pida,1,1,1.0
que,pida,algo,1,1,1.0
pida,algo,más,1,1,1.0
algo,más,elaborado,1,1,1.0
más,elaborado,como,1,1,1.0
elaborado,como,ahora,1,1,1.0
como,ahora,y,1,1,1.0
ahora,y,también,1,1,1.0
y,también,subir,1,2,0.5
también,subir,cosas,1,1,1.0
subir,cosas,de,1,1,1.0
cosas,de,importancia,1,1,1.0
de,importancia,Y,1,1,1.0
importancia,Y,cree,1,1,1.0
Y,cree,un,1,1,1.0
cree,un,repositorio,1,1,1.0
un,repositorio,de,1,1,1.0
repositorio,de,github,1,1,1.0
de,github,para,1,1,1.0
github,para,que,1,1,1.0
que,sea,mas,1,2,0.5
sea,mas,facil,1,1,1.0
mas,facil,que,1,1,1.0
facil,que,nos,1,1,1.0
que,nos,pasemos,1,2,0.5
nos,pasemos,el,1,1,1.0
pasemos,el,codigo,1,1,1.0
el,codigo,y,1,2,0.5
codigo,y,que,1,1,1.0
y,que,tengamos,1,1,1.0
que,tengamos,versiones,1,1,1.0
tengamos,versiones,anteriores,1,1,1.0
versiones,anteriores,por,1,1,1.0
anteriores,por,si,1,1,1.0
por,si,nos,1,1,1.0
si,nos,equivocamos,1,1,1.0
nos,equivocamos,</s>,1,1,1.0
equivocamos,</s>,<s>,1,1,1.0
</s>,<s>,"Ala,",1,487,0.002053388090349076
<s>,"Ala,",sólo,1,1,1.0
"Ala,",sólo,de,1,1,1.0
sólo,de,nosotros,1,1,1.0
de,nosotros,tres?,1,1,1.0
nosotros,tres?,</s>,1,1,1.0
tres?,</s>,<s>,1,1,1.0
<s>,Ah,bueno,1,3,0.3333333333333333
Ah,bueno,jaja,1,1,1.0
bueno,jaja,</s>,1,1,1.0
jaja,</s>,<s>,1,1,1.0
<s>,"Hola,",profesor.,1,7,0.14285714285714285
"Hola,",profesor.,</s>,1,1,1.0
Aquí,estamos,fuera,1,2,0.5
estamos,fuera,de,1,1,1.0
fuera,de,su,1,1,1.0
de,su,"cubículo,",1,2,0.5
su,"cubículo,",se,1,1,1.0
"cubículo,",se,encuentra?,1,1,1.0
se,encuentra?,</s>,1,1,1.0
encuentra?,</s>,<s>,1,1,1.0
<s>,"Si,",solo,1,5,0.2
"Si,",solo,era,1,1,1.0
solo,era,para,1,1,1.0
era,para,platicar,1,1,1.0
para,platicar,con,1,1,1.0
platicar,con,usted,1,1,1.0
con,usted,sobre,1,2,0.5
usted,sobre,nuestro,1,1,1.0
sobre,nuestro,TT,1,1,1.0
nuestro,TT,y,1,1,1.0
TT,y,si,1,1,1.0
y,si,es,1,1,1.0
si,es,posible,1,2,0.5
es,posible,hacer,1,1,1.0
posible,hacer,mi,1,1,1.0
hacer,mi,servicio,1,1,1.0
mi,servicio,social,1,1,1.0
servicio,social,con,1,2,0.5
social,con,usted?,1,1,1.0
con,usted?,</s>,1,1,1.0
En,su,cubículo,1,2,0.5
su,cubículo,o,1,4,0.25
cubículo,o,en,1,1,1.0
o,en,el,1,1,1.0
en,el,laboratorio?,1,13,0.07692307692307693
el,laboratorio?,</s>,1,1,1.0
laboratorio?,</s>,<s>,1,1,1.0
<s>,"Disculpe,",hubo,1,3,0.3333333333333333
"Disculpe,",hubo,alguna,1,1,1.0
hubo,alguna,noticia,1,1,1.0
alguna,noticia,del,1,1,1.0
noticia,del,servicio,1,1,1.0
del,servicio,social,1,1,1.0
servicio,social,y,1,2,0.5
social,y,para,1,1,1.0
y,para,juntarnos,1,1,1.0
para,juntarnos,para,1,1,1.0
juntarnos,para,ver,1,1,1.0
para,ver,lo,1,1,1.0
ver,lo,del,1,1,1.0
lo,del,TT?,1,1,1.0
del,TT?,</s>,1,1,1.0
TT?,</s>,<s>,1,1,1.0
</s>,<s>,Hurtado,1,487,0.002053388090349076
<s>,Hurtado,Morales,1,1,1.0
Hurtado,Morales,Emiliano,1,1,1.0
Morales,Emiliano,</s>,1,1,1.0
Emiliano,</s>,<s>,1,1,1.0
<s>,"Ok,",muchas,1,8,0.125
"Ok,",muchas,"gracias,",1,1,1.0
muchas,"gracias,",profesor.,1,2,0.5
"gracias,",profesor.,</s>,1,1,1.0
<s>,Entonces,ahora,1,5,0.2
Entonces,ahora,sería,1,1,1.0
ahora,sería,registrarme,1,1,1.0
sería,registrarme,en,1,1,1.0
registrarme,en,el,1,1,1.0
en,el,SISS,1,13,0.07692307692307693
el,SISS,y,1,1,1.0
SISS,y,enviar,1,1,1.0
y,enviar,la,1,1,1.0
enviar,la,"documentación,",1,1,1.0
la,"documentación,",verdad?,1,1,1.0
"documentación,",verdad?,</s>,1,1,1.0
verdad?,</s>,<s>,1,1,1.0
<s>,Y,sobre,1,4,0.25
Y,sobre,la,1,1,1.0
sobre,la,"junta,",1,2,0.5
la,"junta,",el,1,1,1.0
"junta,",el,jueves,1,1,1.0
el,jueves,le,1,2,0.5
jueves,le,funciona,1,1,1.0
le,funciona,a,1,1,1.0
funciona,a,las,1,1,1.0
<s>,Está,libre,1,3,0.3333333333333333
Está,libre,ahora?,1,1,1.0
libre,ahora?,</s>,1,1,1.0
ahora?,</s>,<s>,1,1,1.0
<s>,Porque,me,1,2,0.5
Porque,me,tengo,1,1,1.0
me,tengo,que,1,1,1.0
tengo,que,retirar,1,1,1.0
que,retirar,a,1,1,1.0
retirar,a,las,1,1,1.0
a,las,12:30.,1,9,0.1111111111111111
las,12:30.,</s>,1,1,1.0
12:30.,</s>,<s>,1,1,1.0
<s>,"Vale,",voy,1,7,0.14285714285714285
"Vale,",voy,para,1,1,1.0
voy,para,allá.,1,3,0.3333333333333333
para,allá.,</s>,1,1,1.0
allá.,</s>,<s>,1,1,1.0
En,su,cubículo?,1,2,0.5
Buenos,"días,",profe.,1,10,0.1
"días,",profe.,</s>,1,1,1.0
Está,en,su,1,2,0.5
<s>,"Disculpe,",no,1,3,0.3333333333333333
"Disculpe,",no,he,1,1,1.0
no,he,podido,1,2,0.5
he,podido,realizar,1,1,1.0
podido,realizar,las,1,1,1.0
realizar,las,"animaciones,",1,1,1.0
las,"animaciones,",porque,1,1,1.0
"animaciones,",porque,no,1,1,1.0
porque,no,encuentro,1,1,1.0
no,encuentro,las,1,1,1.0
encuentro,las,expresiones,1,1,1.0
las,expresiones,que,1,1,1.0
expresiones,que,quiere,1,1,1.0
que,quiere,que,1,1,1.0
quiere,que,"anime,",1,2,0.5
que,"anime,",estas,1,1,1.0
"anime,",estas,las,1,1,1.0
estas,las,subió,1,1,1.0
las,subió,en,1,1,1.0
subió,en,un,1,1,1.0
en,un,documento,1,3,0.3333333333333333
un,documento,o,1,1,1.0
documento,o,están,1,1,1.0
o,están,en,1,1,1.0
están,en,las,1,2,0.5
en,las,diapositivas?,1,2,0.5
las,diapositivas?,</s>,1,1,1.0
diapositivas?,</s>,<s>,1,1,1.0
<s>,Le,subí,1,2,0.5
Le,subí,la,1,1,1.0
la,presentación,de,1,5,0.2
presentación,de,operadores,1,1,1.0
de,operadores,a,1,1,1.0
operadores,a,la,1,1,1.0
a,la,"carpeta,",1,14,0.07142857142857142
la,"carpeta,",¿podría,1,1,1.0
"carpeta,",¿podría,"revisarla,",1,1,1.0
¿podría,"revisarla,",por,1,1,1.0
"revisarla,",por,"favor,",1,1,1.0
por,"favor,",y,1,1,1.0
"favor,",y,comentarme,1,1,1.0
y,comentarme,que,1,1,1.0
comentarme,que,le,1,1,1.0
que,le,parece?,1,2,0.5
le,parece?,</s>,1,1,1.0
<s>,Buenos,"dias,",1,11,0.09090909090909091
Buenos,"dias,",profesor.,1,1,1.0
"dias,",profesor.,</s>,1,1,1.0
</s>,<s>,Estuve,1,487,0.002053388090349076
<s>,Estuve,haciendo,1,1,1.0
Estuve,haciendo,varios,1,1,1.0
haciendo,varios,diseños,1,1,1.0
varios,diseños,y,1,1,1.0
diseños,y,este,1,1,1.0
y,este,final,1,1,1.0
este,final,es,1,1,1.0
final,es,el,1,1,1.0
es,el,que,1,1,1.0
el,que,me,1,1,1.0
que,me,pareció,1,9,0.1111111111111111
me,pareció,más,1,1,1.0
pareció,más,adecuado,1,1,1.0
más,adecuado,para,1,1,1.0
adecuado,para,las,1,1,1.0
para,las,apuntadores.,1,1,1.0
las,apuntadores.,</s>,1,1,1.0
apuntadores.,</s>,<s>,1,1,1.0
la,presentación,al,1,5,0.2
presentación,al,"OneDrive,",1,1,1.0
al,"OneDrive,",estoy,1,1,1.0
"OneDrive,",estoy,atento,1,1,1.0
estoy,atento,a,1,1,1.0
<s>,"Hola,",prof.,1,7,0.14285714285714285
"Hola,",prof.,</s>,1,1,1.0
prof.,</s>,<s>,1,1,1.0
Va,a,poder,1,2,0.5
a,poder,entrar?,1,2,0.5
poder,entrar?,</s>,1,1,1.0
entrar?,</s>,<s>,1,1,1.0
<s>,Ya,hicimos,1,52,0.019230769230769232
Ya,hicimos,revisión,1,1,1.0
hicimos,revisión,con,1,1,1.0
revisión,con,Alcántara.,1,1,1.0
con,Alcántara.,</s>,1,1,1.0
Alcántara.,</s>,<s>,1,1,1.0
<s>,"Vale,","maestro,",1,7,0.14285714285714285
"Vale,","maestro,",quedó,1,1,1.0
"maestro,",quedó,atento.,1,1,1.0
quedó,atento.,</s>,1,1,1.0
<s>,"Claro,",me,1,14,0.07142857142857142
"Claro,",me,pongo,1,1,1.0
me,pongo,a,1,1,1.0
pongo,a,hacerlo.,1,1,1.0
a,hacerlo.,</s>,1,1,1.0
hacerlo.,</s>,<s>,1,1,1.0
subí,la,primera,1,3,0.3333333333333333
la,primera,versión,1,2,0.5
primera,versión,de,1,1,1.0
versión,de,la,1,1,1.0
de,la,presentación,1,5,0.2
presentación,y,los,1,2,0.5
y,los,ejemplos,1,3,0.3333333333333333
los,ejemplos,del,1,1,1.0
ejemplos,del,PSeInt.,1,1,1.0
del,PSeInt.,</s>,1,1,1.0
PSeInt.,</s>,<s>,1,1,1.0
<s>,"Claro,",realizo,1,14,0.07142857142857142
"Claro,",realizo,los,1,1,1.0
realizo,los,ejemplos.,1,1,1.0
los,ejemplos.,</s>,1,1,1.0
ejemplos.,</s>,<s>,1,1,1.0
Ya,están,arribas,1,3,0.3333333333333333
están,arribas,mis,1,1,1.0
arribas,mis,propuestas,1,1,1.0
mis,propuestas,de,1,1,1.0
propuestas,de,memoria,1,1,1.0
de,memoria,dinámica,1,1,1.0
memoria,dinámica,y,1,1,1.0
dinámica,y,los,1,1,1.0
y,los,ejercicios.,1,3,0.3333333333333333
los,ejercicios.,</s>,1,1,1.0
ejercicios.,</s>,<s>,1,1,1.0
a,sus,comentarios,1,3,0.3333333333333333
sus,comentarios,y,1,1,1.0
comentarios,y,sin,1,1,1.0
y,sin,problema,1,1,1.0
sin,problema,hago,1,3,0.3333333333333333
problema,hago,modificaciones.,1,1,1.0
hago,modificaciones.,</s>,1,1,1.0
<s>,"Claro,","maestro,",1,14,0.07142857142857142
"Claro,","maestro,",lo,1,1,1.0
"maestro,",lo,agrego.,1,1,1.0
lo,agrego.,</s>,1,1,1.0
agrego.,</s>,<s>,1,1,1.0
Ya,están,arriba,1,3,0.3333333333333333
están,arriba,las,1,1,1.0
arriba,las,modificaciones.,1,1,1.0
las,modificaciones.,</s>,1,1,1.0
"No,",no,tengo.,1,2,0.5
no,tengo.,</s>,1,1,1.0
tengo.,</s>,<s>,1,1,1.0
<s>,Que,se,1,16,0.0625
Que,se,tendría,1,1,1.0
se,tendría,que,1,1,1.0
tendría,que,hacer?,1,1,1.0
que,hacer?,</s>,1,1,1.0
hacer?,</s>,<s>,1,1,1.0
<s>,Entonces,quedo,1,5,0.2
Entonces,quedo,atento.,1,1,1.0
quedo,atento.,</s>,1,1,1.0
</s>,<s>,Gracias.,1,487,0.002053388090349076
<s>,Gracias.,</s>,1,1,1.0
Gracias.,</s>,<s>,1,1,1.0
<s>,Buena,tarde.,1,2,0.5
Buena,tarde.,</s>,1,1,1.0
tarde.,</s>,<s>,1,1,1.0
Creo,que,puede,1,3,0.3333333333333333
que,puede,intentar,1,1,1.0
puede,intentar,con,1,1,1.0
intentar,con,SmallPDF,1,1,1.0
con,SmallPDF,o,1,1,1.0
SmallPDF,o,PDF,1,1,1.0
o,PDF,Candy.,1,1,1.0
PDF,Candy.,</s>,1,1,1.0
Candy.,</s>,<s>,1,1,1.0
<s>,Si,"desea,",1,11,0.09090909090909091
Si,"desea,",mándeme,1,1,1.0
"desea,",mándeme,el,1,1,1.0
mándeme,el,pdf,1,1,1.0
el,pdf,y,1,2,0.5
pdf,y,lo,1,1,1.0
y,lo,intento.,1,1,1.0
lo,intento.,</s>,1,1,1.0
intento.,</s>,<s>,1,1,1.0
<s>,"No,",pero,1,15,0.06666666666666667
"No,",pero,creo,1,1,1.0
creo,que,se,1,10,0.1
que,se,reducio,1,10,0.1
se,reducio,la,1,1,1.0
reducio,la,calidad,1,1,1.0
la,calidad,</s>,1,1,1.0
calidad,</s>,<s>,1,1,1.0
</s>,<s>,Puedo,1,487,0.002053388090349076
<s>,Puedo,intentarlo.,1,1,1.0
Puedo,intentarlo.,</s>,1,1,1.0
intentarlo.,</s>,<s>,1,1,1.0
Va,a,estar,1,2,0.5
estar,en,su,1,2,0.5
su,cubículo,a,1,4,0.25
cubículo,a,las,1,1,1.0
</s>,<s>,respuesta,1,487,0.002053388090349076
<s>,respuesta,</s>,1,1,1.0
respuesta,</s>,<s>,1,1,1.0
"Oh,","ok,",pero,1,2,0.5
"ok,",pero,está,1,1,1.0
pero,está,disponible,1,1,1.0
está,disponible,ahora,1,1,1.0
disponible,ahora,u,1,1,1.0
ahora,u,otro,1,1,1.0
u,otro,día,1,1,1.0
otro,día,lo,1,1,1.0
día,lo,puedo,1,1,1.0
lo,puedo,ver?,1,3,0.3333333333333333
puedo,ver?,</s>,1,1,1.0
ver?,</s>,<s>,1,1,1.0
<s>,Es,para,1,3,0.3333333333333333
Es,para,la,1,1,1.0
para,la,firma,1,2,0.5
la,firma,del,1,1,1.0
del,reporte,de,1,2,0.5
reporte,de,SS.,1,2,0.5
de,SS.,</s>,1,1,1.0
SS.,</s>,<s>,1,1,1.0
<s>,"Vale,","gracias,",1,7,0.14285714285714285
"Vale,","gracias,",maestro.,1,1,1.0
"gracias,",maestro.,</s>,1,1,1.0
"Buenas,","maestro,",está,1,2,0.5
"maestro,",está,en,1,1,1.0
está,en,su,1,2,0.5
Feliz,Año,Nuevo!,1,2,0.5
Año,Nuevo!,</s>,1,1,1.0
Nuevo!,</s>,<s>,1,1,1.0
<s>,"Disculpe,",qué,1,3,0.3333333333333333
"Disculpe,",qué,día,1,1,1.0
qué,día,estaría,1,1,1.0
día,estaría,esta,1,1,1.0
estaría,esta,semana,1,1,1.0
esta,semana,para,1,2,0.5
semana,para,poder,1,1,1.0
para,poder,ir,1,1,1.0
poder,ir,a,1,1,1.0
ir,a,firmar,1,3,0.3333333333333333
a,firmar,el,1,1,1.0
el,reporte,de,1,2,0.5
reporte,de,SS?,1,2,0.5
de,SS?,</s>,1,1,1.0
<s>,"Oh,",una,1,3,0.3333333333333333
"Oh,",una,"disculpa,",1,1,1.0
una,"disculpa,",mañana,1,1,1.0
"disculpa,",mañana,no,1,1,1.0
mañana,no,"puedo,",1,2,0.5
no,"puedo,",puede,1,1,1.0
"puedo,",puede,otro,1,1,1.0
puede,otro,día?,1,1,1.0
otro,día?,</s>,1,1,1.0
día?,</s>,<s>,1,1,1.0
<s>,"Vale,",lo,1,7,0.14285714285714285
"Vale,",lo,veo,1,1,1.0
lo,veo,el,1,1,1.0
veo,el,"miércoles,",1,1,1.0
el,"miércoles,",muchas,1,1,1.0
"miércoles,",muchas,gracias.,1,1,1.0
ha,estado?,Hay,1,4,0.25
estado?,Hay,algo,1,1,1.0
Hay,algo,en,1,1,1.0
algo,en,lo,1,1,1.0
en,lo,que,1,1,1.0
lo,que,necesite,1,8,0.125
que,necesite,apoyo?,1,1,1.0
necesite,apoyo?,</s>,1,1,1.0
apoyo?,</s>,<s>,1,1,1.0
<s>,Me,faltan,1,4,0.25
Me,faltan,3,1,1,1.0
faltan,3,meses,1,1,1.0
3,meses,y,1,1,1.0
meses,y,medio.,1,1,1.0
y,medio.,</s>,1,1,1.0
medio.,</s>,<s>,1,1,1.0
</s>,<s>,Termino,1,487,0.002053388090349076
<s>,Termino,en,1,1,1.0
Termino,en,mayo,1,1,1.0
en,mayo,16.,1,1,1.0
mayo,16.,</s>,1,1,1.0
16.,</s>,<s>,1,1,1.0
<s>,Se,refiere,1,5,0.2
Se,refiere,a,1,1,1.0
refiere,a,un,1,1,1.0
a,un,forms,1,1,1.0
un,forms,de,1,1,1.0
forms,de,"Google,",1,1,1.0
de,"Google,",donde,1,1,1.0
"Google,",donde,haya,1,1,1.0
donde,haya,opciones,1,1,1.0
haya,opciones,múltiple,1,1,1.0
opciones,múltiple,del,1,1,1.0
múltiple,del,número,1,1,1.0
