Term 1,Term 2,Term 3,frequency of trigram,frequency of context (bigram Term1 + Term2),probability of trigram
<s>,Saludos,</s>,2,2,1.0
Saludos,</s>,<s>,2,2,1.0
que,me,mando,2,9,0.2222222222222222
me,mando,el,2,2,1.0
las,mismas,noticias,2,3,0.6666666666666666
</s>,<s>,Oigan,2,487,0.004106776180698152
<s>,Oigan,y,2,2,1.0
gracias,Emily,</s>,2,2,1.0
<s>,Va,muchas,2,5,0.4
Va,muchas,gracias,2,2,1.0
</s>,<s>,#,2,487,0.004106776180698152
</s>,<s>,Creo,2,487,0.004106776180698152
<s>,Creo,que,2,2,1.0
</s>,<s>,Vamos,2,487,0.004106776180698152
se,va,a,2,2,1.0
</s>,<s>,Porque,2,487,0.004106776180698152
para,que,sea,2,4,0.5
</s>,<s>,Cómo,2,487,0.004106776180698152
<s>,Cómo,está?,2,2,1.0
Cómo,está?,</s>,2,2,1.0
está?,</s>,<s>,2,2,1.0
<s>,Aquí,estamos,2,3,0.6666666666666666
usted?,</s>,<s>,2,2,1.0
<s>,En,su,2,4,0.5
<s>,Ok,</s>,2,5,0.4
Ok,</s>,<s>,2,2,1.0
</s>,<s>,Está,2,487,0.004106776180698152
en,su,cubículo?,2,7,0.2857142857142857
subí,la,presentación,2,3,0.6666666666666666
parece?,</s>,<s>,2,2,1.0
le,subí,la,2,3,0.6666666666666666
a,sus,comentarios.,2,3,0.6666666666666666
sus,comentarios.,</s>,2,2,1.0
comentarios.,</s>,<s>,2,2,1.0
<s>,Va,a,2,5,0.4
atento.,</s>,<s>,2,2,1.0
la,presentación,y,2,5,0.4
<s>,Quedo,atento,2,3,0.6666666666666666
Quedo,atento,a,2,2,1.0
<s>,"Ok,",maestro.,2,8,0.25
"Ok,",maestro.,</s>,2,2,1.0
<s>,"Hola,",maestro.,2,7,0.2857142857142857
"Hola,",maestro.,</s>,2,2,1.0
<s>,Ya,están,2,52,0.038461538461538464
modificaciones.,</s>,<s>,2,2,1.0
<s>,"No,",no,2,15,0.13333333333333333
</s>,<s>,Buena,2,487,0.004106776180698152
a,estar,en,2,2,1.0
en,su,cubículo,2,7,0.2857142857142857
<s>,"Oh,","ok,",2,3,0.6666666666666666
firma,del,reporte,2,2,1.0
</s>,<s>,"Buenas,",2,487,0.004106776180698152
<s>,"Buenas,","maestro,",2,2,1.0
</s>,<s>,Feliz,2,487,0.004106776180698152
<s>,Feliz,Año,2,2,1.0
firmar,el,reporte,2,2,1.0
SS?,</s>,<s>,2,2,1.0
<s>,"Gracias,",maestro.,2,5,0.4
"Gracias,",maestro.,</s>,2,2,1.0
</s>,<s>,La,2,487,0.004106776180698152
</s>,<s>,"Uy,",2,487,0.004106776180698152
que,se,llama,2,10,0.2
<s>,Igual,ya,2,3,0.6666666666666666
</s>,<s>,Mañana,2,487,0.004106776180698152
su,cubículo,para,2,4,0.5
cubículo,para,firma,2,2,1.0
reporte,mensual?,</s>,2,2,1.0
mensual?,</s>,<s>,2,2,1.0
</s>,<s>,Hoy,2,487,0.004106776180698152
yo,creo,que,2,2,1.0
realizo,</s>,<s>,2,2,1.0
médico.,</s>,<s>,2,2,1.0
creo,que,ya,2,10,0.2
</s>,<s>,Nos,2,487,0.004106776180698152
eso,</s>,<s>,2,2,1.0
</s>,<s>,Claro,2,487,0.004106776180698152
</s>,<s>,"Igual,",2,487,0.004106776180698152
