Term 1,Term 2,Term 3,frequency of trigram,frequency of context (bigram Term1 + Term2),probability of trigram
<s>,Va,Citlalli,2,3,0.6666666666666666
Va,Citlalli,</s>,2,2,1.0
del,modelo,</s>,2,2,1.0
modelo,</s>,<s>,2,2,1.0
</s>,<s>,Se,2,395,0.005063291139240506
Es,que,si,2,12,0.16666666666666666
<s>,Creo,que,2,3,0.6666666666666666
jajajaja,</s>,<s>,2,2,1.0
</s>,<s>,Oye,2,395,0.005063291139240506
api,key,</s>,2,3,0.6666666666666666
key,</s>,<s>,2,2,1.0
</s>,<s>,para,2,395,0.005063291139240506
<s>,para,probar,2,2,1.0
para,probar,</s>,2,3,0.6666666666666666
probar,</s>,<s>,2,2,1.0
que,no,me,2,13,0.15384615384615385
más,seguro,es,2,3,0.6666666666666666
seguro,es,que,2,2,1.0
que,no,hay,2,13,0.15384615384615385
que,fui,no,2,2,1.0
fui,no,estaba,2,2,1.0
no,estaba,</s>,2,2,1.0
estaba,</s>,<s>,2,2,1.0
A,ver,si,2,3,0.6666666666666666
<s>,No,pues,2,10,0.2
😂,</s>,<s>,2,2,1.0
no,mimi,</s>,2,2,1.0
están,bien,mimi,2,2,1.0
❤‍🩹,</s>,<s>,2,2,1.0
es,que,si,2,12,0.16666666666666666
bueno,es,que,2,2,1.0
que,no,se,2,13,0.15384615384615385
Si,no,en,2,6,0.3333333333333333
no,en,la,2,2,1.0
la,noche,lo,2,3,0.6666666666666666
noche,lo,checo,2,2,1.0
<s>,Pues,si,2,13,0.15384615384615385
de,nada,mimi,2,4,0.5
Que,bueno,mimi,2,3,0.6666666666666666
bueno,mimi,💖,2,2,1.0
</s>,<s>,Al,2,395,0.005063291139240506
Esta,bien,bonita,2,9,0.2222222222222222
nada,mimi,</s>,2,3,0.6666666666666666
</s>,<s>,Bien,2,395,0.005063291139240506
<s>,Bien,mimi,2,2,1.0
Bien,mimi,</s>,2,2,1.0
No,mimi,</s>,2,3,0.6666666666666666
<s>,Mimi,me,2,4,0.5
la,casa,</s>,2,2,1.0
casa,</s>,<s>,2,2,1.0
Es,que,no,2,12,0.16666666666666666
</s>,<s>,El,2,395,0.005063291139240506
inglés,</s>,<s>,2,2,1.0
<s>,Y,si,2,10,0.2
Si,mimi,ahorita,2,26,0.07692307692307693
tengo,datos,</s>,2,2,1.0
</s>,<s>,Te,2,395,0.005063291139240506
<s>,Ah,no,2,4,0.5
que,para,la,2,2,1.0
bonito,</s>,<s>,2,2,1.0
esta,bien,mimi,2,3,0.6666666666666666
mimi,gachas,</s>,2,2,1.0
nosotros,</s>,<s>,2,2,1.0
</s>,<s>,Los,2,395,0.005063291139240506
</s>,<s>,chi,2,395,0.005063291139240506
<s>,Hola,Mily,1,1,1.0
Hola,Mily,</s>,1,1,1.0
</s>,<s>,Quieren,1,395,0.002531645569620253
<s>,Quieren,que,1,1,1.0
Quieren,que,se,1,1,1.0
que,se,los,1,4,0.25
se,los,mande?,1,1,1.0
los,mande?,</s>,1,1,1.0
mande?,</s>,<s>,1,1,1.0
</s>,<s>,Real,1,395,0.002531645569620253
<s>,Real,jajajaj,1,1,1.0
Real,jajajaj,</s>,1,1,1.0
<s>,La,verdadera,1,2,0.5
La,verdadera,traición,1,1,1.0
verdadera,traición,owo,1,1,1.0
traición,owo,</s>,1,1,1.0
owo,</s>,<s>,1,1,1.0
Si,Mily,era,1,2,0.5
Mily,era,la,1,1,1.0
era,la,única,1,1,1.0
la,única,que,1,1,1.0
única,que,había,1,1,1.0
que,había,jajaja,1,1,1.0
había,jajaja,</s>,1,1,1.0
Esta,bien,Citlalli,1,9,0.1111111111111111
bien,Citlalli,</s>,1,1,1.0
menos,ya,solo,1,2,0.5
ya,solo,tengo,1,1,1.0
solo,tengo,tres,1,1,1.0
tengo,tres,materias,1,1,1.0
tres,materias,jajaja,1,1,1.0
materias,jajaja,</s>,1,1,1.0
<s>,Y,ustedes,1,10,0.1
Y,ustedes,como,1,1,1.0
ustedes,como,se,1,1,1.0
como,se,sienten,1,2,0.5
se,sienten,en,1,1,1.0
sienten,en,la,1,1,1.0
en,la,tarde?,1,13,0.07692307692307693
la,tarde?,</s>,1,1,1.0
tarde?,</s>,<s>,1,1,1.0
</s>,<s>,Todo,1,395,0.002531645569620253
<s>,Todo,bien?,1,1,1.0
Todo,bien?,</s>,1,1,1.0
bien?,</s>,<s>,1,1,1.0
</s>,<s>,Uy,1,395,0.002531645569620253
<s>,Uy,JAJAJA,1,1,1.0
Uy,JAJAJA,</s>,1,1,1.0
</s>,<s>,Castigo,1,395,0.002531645569620253
<s>,Castigo,o,1,1,1.0
Castigo,o,premio?,1,1,1.0
o,premio?,</s>,1,1,1.0
premio?,</s>,<s>,1,1,1.0
</s>,<s>,Ajajaja,1,395,0.002531645569620253
<s>,Ajajaja,</s>,1,1,1.0
Ajajaja,</s>,<s>,1,1,1.0
<s>,Ay,si,1,2,0.5
Ay,si,es,1,1,1.0
si,es,que,1,1,1.0
es,que,distribuidos,1,12,0.08333333333333333
que,distribuidos,es,1,1,1.0
distribuidos,es,aburrido,1,1,1.0
es,aburrido,</s>,1,1,1.0
aburrido,</s>,<s>,1,1,1.0
<s>,Pero,no,1,13,0.07692307692307693
Pero,no,duermes,1,1,1.0
no,duermes,un,1,1,1.0
duermes,un,poquito,1,1,1.0
un,poquito,más,1,1,1.0
poquito,más,Citlalli?,1,1,1.0
más,Citlalli?,</s>,1,1,1.0
Citlalli?,</s>,<s>,1,1,1.0
</s>,<s>,Jajajaja,1,395,0.002531645569620253
<s>,Jajajaja,</s>,1,1,1.0
Jajajaja,</s>,<s>,1,1,1.0
<s>,También,puede,1,2,0.5
También,puede,ser,1,1,1.0
puede,ser,que,1,3,0.3333333333333333
ser,que,es,1,1,1.0
que,es,porque,1,3,0.3333333333333333
es,porque,antes,1,1,1.0
porque,antes,llegabas,1,1,1.0
antes,llegabas,y,1,1,1.0
llegabas,y,te,1,1,1.0
y,te,echabas,1,1,1.0
te,echabas,una,1,1,1.0
echabas,una,siesta,1,1,1.0
una,siesta,jajaja,1,1,1.0
siesta,jajaja,</s>,1,1,1.0
Si,mily,sin,1,2,0.5
mily,sin,problema,1,1,1.0
sin,problema,</s>,1,1,1.0
problema,</s>,<s>,1,1,1.0
<s>,si,tienen,1,2,0.5
si,tienen,el,1,1,1.0
tienen,el,formato?,1,1,1.0
el,formato?,</s>,1,1,1.0
formato?,</s>,<s>,1,1,1.0
</s>,<s>,Ese,1,395,0.002531645569620253
<s>,Ese,fue,1,1,1.0
Ese,fue,el,1,1,1.0
fue,el,ultimo,1,2,0.5
el,ultimo,que,1,1,1.0
ultimo,que,hice,1,1,1.0
<s>,es,de,1,3,0.3333333333333333
es,de,agosto,1,1,1.0
de,agosto,</s>,1,1,1.0
agosto,</s>,<s>,1,1,1.0
<s>,Sip,de,1,3,0.3333333333333333
Sip,de,nada,1,1,1.0
de,nada,🫰,1,4,0.25
nada,🫰,</s>,1,1,1.0
<s>,Chicas,hablando,1,6,0.16666666666666666
Chicas,hablando,de,1,1,1.0
hablando,de,los,1,1,1.0
de,los,cambios,1,2,0.5
los,cambios,hice,1,1,1.0
cambios,hice,ya,1,1,1.0
hice,ya,unos,1,1,1.0
ya,unos,cambios,1,1,1.0
unos,cambios,a,1,1,1.0
cambios,a,la,1,1,1.0
a,la,base,1,3,0.3333333333333333
la,base,de,1,1,1.0
base,de,datos,1,1,1.0
de,datos,</s>,1,1,1.0
</s>,<s>,Asi,1,395,0.002531645569620253
<s>,Asi,la,1,1,1.0
Asi,la,deje,1,1,1.0
la,deje,</s>,1,1,1.0
deje,</s>,<s>,1,1,1.0
<s>,Chicas,cuando,1,6,0.16666666666666666
Chicas,cuando,puedan,1,1,1.0
cuando,puedan,me,1,1,1.0
puedan,me,pasan,1,1,1.0
me,pasan,su,1,1,1.0
pasan,su,usuario,1,1,1.0
su,usuario,de,1,1,1.0
usuario,de,Git,1,1,1.0
de,Git,pofavo,1,1,1.0
