Term 1,Term 2,frequency of bigram,frequency of context (Term 1), conditional probability of bigram
<s>,Oigan,2,488,0.004098361
Oigan,y,2,2,1
todas,las,2,2,1
3,de,2,6,0.333333333
*,3,2,2,1
es,un,2,25,0.08
y,ya,2,60,0.033333333
Va,gracias,2,6,0.333333333
gracias,Emily,2,11,0.181818182
Va,muchas,2,6,0.333333333
<s>,#,2,488,0.004098361
<s>,Creo,2,488,0.004098361
Muchas,gracias,2,4,0.5
<s>,Vamos,2,488,0.004098361
las,pruebas,2,40,0.05
las,10,2,40,0.05
mañana,no,2,6,0.333333333
se,va,2,31,0.064516129
la,evidencia,2,89,0.02247191
el,codigo,2,59,0.033898305
si,es,2,15,0.133333333
pero,ya,2,13,0.153846154
eso,ya,2,7,0.285714286
<s>,Porque,2,488,0.004098361
que,sea,2,97,0.020618557
para,hacer,2,28,0.071428571
los,reportes,2,24,0.083333333
y,también,2,60,0.033333333
que,nos,2,97,0.020618557
<s>,Cómo,2,488,0.004098361
Cómo,está?,2,2,1
está?,</s>,2,2,1
Aquí,estamos,2,4,0.5
de,su,2,74,0.027027027
con,usted,2,23,0.086956522
servicio,social,2,2,1
usted?,</s>,2,2,1
En,su,2,5,0.4
Ok,</s>,2,5,0.4
muchas,"gracias,",2,10,0.2
sobre,la,2,4,0.5
no,he,2,25,0.08
quiere,que,2,6,0.333333333
están,en,2,7,0.285714286
en,las,2,61,0.032786885
que,le,2,97,0.020618557
parece?,</s>,2,2,1
sus,comentarios.,2,4,0.5
comentarios.,</s>,2,2,1
Va,a,2,6,0.333333333
atento.,</s>,2,2,1
la,primera,2,89,0.02247191
presentación,y,2,5,0.4
Quedo,atento,2,3,0.666666667
"Ok,",maestro.,2,8,0.25
"Hola,",maestro.,2,7,0.285714286
modificaciones.,</s>,2,2,1
"No,",no,2,15,0.133333333
<s>,Buena,2,488,0.004098361
a,estar,2,72,0.027777778
estar,en,2,3,0.666666667
"Oh,","ok,",2,3,0.666666667
para,la,2,28,0.071428571
firma,del,2,3,0.666666667
del,reporte,2,11,0.181818182
reporte,de,2,4,0.5
<s>,"Buenas,",2,488,0.004098361
"Buenas,","maestro,",2,2,1
está,en,2,6,0.333333333
<s>,Feliz,2,488,0.004098361
Feliz,Año,2,2,1
esta,semana,2,6,0.333333333
firmar,el,2,2,1
el,reporte,2,59,0.033898305
SS?,</s>,2,2,1
"Gracias,",maestro.,2,5,0.4
<s>,La,2,488,0.004098361
<s>,"Uy,",2,488,0.004098361
lo,tengo,2,31,0.064516129
se,llama,2,31,0.064516129
Igual,ya,2,3,0.666666667
el,curso,2,59,0.033898305
<s>,Mañana,2,488,0.004098361
10,en,2,4,0.5
cubículo,para,2,4,0.5
para,firma,2,28,0.071428571
reporte,mensual?,2,4,0.5
mensual?,</s>,2,2,1
el,código,2,59,0.033898305
<s>,Hoy,2,488,0.004098361
yo,creo,2,8,0.25
ver,en,2,6,0.333333333
realizo,</s>,2,3,0.666666667
poco,de,2,2,1
médico.,</s>,2,2,1
las,presentaciones,2,40,0.05
los,códigos,2,24,0.083333333
de,seguimiento,2,74,0.027027027
<s>,Nos,2,488,0.004098361
eso,</s>,2,7,0.285714286
<s>,Claro,2,488,0.004098361
<s>,"Igual,",2,488,0.004098361
por,favor?,2,20,0.1
favor?,</s>,2,2,1
<s>,El,2,488,0.004098361
a,su,2,72,0.027777778
<s>,Muchas,2,488,0.004098361
<s>,Hola,2,488,0.004098361
Hola,maestro,2,2,1
ya,tengo,2,25,0.08
ahí.,</s>,2,2,1
<s>,Ahorita,2,488,0.004098361
esperar,que,2,2,1
que,todo,2,97,0.020618557
está,bien,2,6,0.333333333
Ya,lo,2,54,0.037037037
semestre,y,2,8,0.25
el,siguiente,2,59,0.033898305
sólo,una,2,6,0.333333333
una,exhibición,2,9,0.222222222
acá.,</s>,2,2,1
estuvo,el,2,2,1
familia.,</s>,2,2,1
de,año?,2,74,0.027027027
año?,</s>,2,2,1
yendo,a,2,2,1
trabajando,en,2,3,0.666666667
la,hayan,2,89,0.02247191
hayan,pasado,2,2,1
pasado,bien.,2,2,1
ando,en,2,6,0.333333333
el,hotel.,2,59,0.033898305
Se,supone,2,5,0.4
están?,</s>,2,2,1
un,buen,2,17,0.117647059
hermano.,</s>,2,2,1
la,han,2,89,0.02247191
han,pasado?,2,3,0.666666667
pasado?,</s>,2,2,1
Voy,a,2,3,0.666666667
"No,",ma.,2,15,0.133333333
jajaja.,</s>,2,2,1
<s>,Hay,2,488,0.004098361
chido.,</s>,2,2,1
"Jajaja,",que,2,15,0.133333333
la,estén,2,89,0.02247191
estén,pasando,2,2,1
pasando,increíble.,2,4,0.5
<s>,Ando,2,488,0.004098361
no,te,2,25,0.08
muy,bien.,2,8,0.25
Como,se,2,9,0.222222222
la,están,2,89,0.02247191
<s>,"Va,",2,488,0.004098361
<s>,"Ma,",2,488,0.004098361
"Jajaja,",esta,2,15,0.133333333
Muy,bien,2,7,0.285714286
mamá,</s>,2,3,0.666666667
problema,</s>,2,6,0.333333333
Ya,aterricé,2,54,0.037037037
camino,a,2,4,0.5
el,avión,2,59,0.033898305
avión,</s>,2,3,0.666666667
la,puerta,2,89,0.02247191
despegar,</s>,2,2,1
casa,</s>,2,3,0.666666667
Si,</s>,2,11,0.181818182
a,casa,2,72,0.027777778
bien,Ale,2,23,0.086956522
chido,</s>,2,4,0.5
Ya,llegue,2,54,0.037037037
<s>,Uff,2,488,0.004098361
viaje,</s>,2,2,1
se,ve,2,31,0.064516129
gracias,Ale,2,11,0.181818182
el,vuelo,2,59,0.033898305
vuelo,a,2,5,0.4
vuelo,y,2,5,0.4
de,Servicio.zip,1,74,0.013513514
Servicio.zip,que,1,1,1
profe,puso,1,6,0.166666667
la,tarea,1,89,0.011235955
tarea,hasta,1,1,1
hasta,abajo,1,4,0.25
abajo,</s>,1,1,1
Dale,es,1,2,0.5
es,compa,1,25,0.04
compa,</s>,1,1,1
Que,onda,1,20,0.05
En,este,1,5,0.2
este,codigo,1,7,0.142857143
codigo,ya,1,3,0.333333333
ya,esta,1,25,0.04
esta,la,1,6,0.166666667
interfaz,y,1,2,0.5
el,esqueleto,1,59,0.016949153
esqueleto,para,1,1,1
para,vectorizar,1,28,0.035714286
vectorizar,y,1,1,1
y,"comparar,",1,60,0.016666667
"comparar,",les,1,1,1
les,parece,1,6,0.166666667
parece,si,1,3,0.333333333
si,uno,1,15,0.066666667
uno,hace,1,1,1
la,vectorización,1,89,0.011235955
vectorización,y,1,1,1
otro,la,1,4,0.25
la,comparación?,1,89,0.011235955
comparación?,</s>,1,1,1
"No,",dijo,1,15,0.066666667
dijo,que,1,3,0.333333333
que,usáramos,1,97,0.010309278
usáramos,sólo,1,1,1
sólo,"uno,",1,6,0.166666667
"uno,",al,1,1,1
al,final,1,14,0.071428571
final,los,1,2,0.5
los,tres,1,24,0.041666667
tres,deberían,1,1,1
deberían,ser,1,1,1
ser,iguales,1,3,0.333333333
iguales,porque,1,1,1
porque,los,1,6,0.166666667
los,corrimos,1,24,0.041666667
hora,y,1,2,0.5
y,de,1,60,0.016666667
la,mismas,1,89,0.011235955
mismas,"página,",1,4,0.25
"página,",puedes,1,1,1
puedes,tomar,1,2,0.5
tomar,el,1,2,0.5
el,"mío,",1,59,0.016949153
"mío,",lo,1,1,1
lo,corrí,1,31,0.032258065
corrí,todos,1,1,1
los,días,1,24,0.041666667
días,</s>,1,1,1
Oh,ok,1,2,0.5
ok,este,1,1,1
este,lunes,1,7,0.142857143
lunes,no,1,2,0.5
no,voy,1,25,0.04
poder,"estar,",1,3,0.333333333
"estar,",comentó,1,2,0.5
comentó,si,1,2,0.5
si,había,1,15,0.066666667
había,problema,1,1,1
problema,con,1,6,0.166666667
con,eso?,1,23,0.043478261
eso?,</s>,1,1,1
Pero,no,1,6,0.166666667
no,puedo,1,25,0.04
puedo,hacer,1,11,0.090909091
hacer,"nada,",1,8,0.125
"nada,",tengo,1,1,1
tengo,un,1,11,0.090909091
un,evento,1,17,0.058823529
evento,agendado,1,1,1
agendado,desde,1,1,1
desde,hace,1,1,1
hace,semanas,1,5,0.2
semanas,</s>,1,2,0.5
Le,voy,1,2,0.5
a,mandar,1,72,0.013888889
mandar,mensaje,1,1,1
mensaje,ahorita,1,1,1
Yo,supuse,1,6,0.166666667
supuse,"eso,",1,1,1
"eso,",por,1,2,0.5
eso,puse,1,7,0.142857143
interfaz,que,1,2,0.5
que,agarre,1,97,0.010309278
agarre,un,1,1,1
un,txt,1,17,0.058823529
txt,</s>,1,1,1
me,comentó,1,19,0.052631579
comentó,el,1,2,0.5
profe,que,1,6,0.166666667
hay,problema,1,4,0.25
problema,que,1,6,0.166666667
la,muestren,1,89,0.011235955
muestren,ustedes,1,1,1
ustedes,dos,1,3,0.333333333
dos,y,1,2,0.5
yo,la,1,8,0.125
la,muestro,1,89,0.011235955
muestro,el,1,1,1
jueves,</s>,1,2,0.5
<s>,Aun,1,488,0.00204918
Aun,así,1,1,1
así,voy,1,2,0.5
a,hacer,1,72,0.013888889
hacer,el,1,8,0.125
el,esfuerzo,1,59,0.016949153
esfuerzo,de,1,1,1
de,ir,1,74,0.013513514
ir,el,1,4,0.25
el,lunes,1,59,0.016949153
lunes,</s>,1,2,0.5
<s>,Uy,1,488,0.00204918
Uy,que,1,1,1
que,equipazo,1,97,0.010309278
equipazo,</s>,1,1,1
Emily,y,1,5,0.2
y,Rolón,1,60,0.016666667
Según,yo,1,2,0.5
yo,es,1,8,0.125
genere,en,1,2,0.5
un,"pdf,",1,17,0.058823529
"pdf,",no?,1,1,1
Según,lo,1,2,0.5
genere,el,1,2,0.5
pdf,de,1,2,0.5
de,esta,1,74,0.013513514
esta,"manera,",1,6,0.166666667
"manera,",no?,1,1,1
<s>,Ahí,1,488,0.00204918
Ahí,si,1,1,1
si,ya,1,15,0.066666667
ya,no,1,25,0.04
se,jajaja,1,31,0.032258065
jajaja,Creo,1,2,0.5
lo,mejor,1,31,0.032258065
mejor,va,1,2,0.5
ser,preguntarle,1,3,0.333333333
preguntarle,al,1,1,1
al,prof,1,14,0.071428571
prof,a,1,2,0.5
a,ver,1,72,0.013888889
ver,cómo,1,6,0.166666667
cómo,lo,1,2,0.5
lo,quiere,1,31,0.032258065
quiere,específicamente,1,6,0.166666667
específicamente,</s>,1,1,1
Te,quedo,1,4,0.25
quedo,"chido,",1,2,0.5
"chido,",gracias,1,3,0.333333333
Lo,revisamos,1,3,0.333333333
revisamos,en,1,1,1
el,"laboratorio,",1,59,0.016949153
"laboratorio,",pero,1,1,1
pero,la,1,13,0.076923077
la,idea,1,89,0.011235955
idea,es,1,1,1
que,ustedes,1,97,0.010309278
ustedes,revisen,1,3,0.333333333
revisen,el,1,1,1
el,contenido,1,59,0.016949153
contenido,de,1,1,1
las,noticias,1,40,0.025
noticias,recuperadas,1,4,0.25
recuperadas,y,1,1,1
y,verifiquen,1,60,0.016666667
que,efectivamente,1,97,0.010309278
efectivamente,se,1,1,1
se,comparten,1,31,0.032258065
comparten,tokens.,1,1,1
tokens.,</s>,1,1,1
<s>,Esto,1,488,0.00204918
Esto,es,1,1,1
es,lo,1,25,0.04
el,"profe,",1,59,0.016949153
"profe,",por,1,1,1
por,lo,1,20,0.05
es,hacer,1,25,0.04
hacer,lo,1,8,0.125
lo,mismo,1,31,0.032258065
mismo,pero,1,3,0.333333333
pero,con,1,13,0.076923077
noticias,del,1,4,0.25
del,csv,1,11,0.090909091
csv,</s>,1,3,0.333333333
"No,",los,1,15,0.066666667
los,3,1,24,0.041666667
3,csv,1,6,0.166666667
csv,son,1,3,0.333333333
los,mismo,1,24,0.041666667
mismo,"Emily,",1,3,0.333333333
"Emily,",recuerda,1,1,1
recuerda,que,1,1,1
lo,corrimos,1,31,0.032258065
hora,de,1,2,0.5
mismas,páginas,1,4,0.25
páginas,</s>,1,1,1
Es,comparar,1,3,0.333333333
comparar,las,1,2,0.5
noticias,con,1,4,0.25
con,los,1,23,0.043478261
los,vectorizadores,1,24,0.041666667
vectorizadores,como,1,1,1
como,si,1,8,0.125
si,fueran,1,15,0.066666667
fueran,los,1,1,1
los,documentos,1,24,0.041666667
documentos,de,1,1,1
prueba,</s>,1,2,0.5
<s>,Por,1,488,0.00204918
Por,eso,1,1,1
eso,es,1,7,0.142857143
es,documento,1,25,0.04
documento,de,1,2,0.5
prueba,1,1,2,0.5
1,",",1,6,0.166666667
",","2,",1,1,1
"2,","3,",1,1,1
"3,","4,",1,1,1
"4,",…,1,1,1
…,hasta,1,1,1
la,256,1,89,0.011235955
256,creo,1,1,1
son,las,1,9,0.111111111
las,noticas,1,40,0.025
noticas,totales,1,1,1
totales,que,1,1,1
que,tenemos,1,97,0.010309278
tenemos,</s>,1,4,0.25
y,saben,1,60,0.016666667
saben,cuando,1,1,1
cuando,deben,1,4,0.25
deben,presentar,1,2,0.5
presentar,Yanelli,1,1,1
Yanelli,y,1,1,1
y,su,1,60,0.016666667
su,"equipo,",1,17,0.058823529
"equipo,",es,1,2,0.5
me,preguntó,1,19,0.052631579
preguntó,</s>,1,1,1
En,terminos,1,5,0.2
terminos,"simples,",1,1,1
"simples,",al,1,1,1
al,picar,1,14,0.071428571
picar,Generar,1,1,1
Generar,"Representaciones,",1,1,1
"Representaciones,",se,1,1,1
se,deben,1,31,0.032258065
deben,generar,1,2,0.5
generar,todas,1,1,1
las,"vectorizaciones,",1,40,0.025
"vectorizaciones,",ej:,1,1,1
ej:,Unigrama,1,1,1
Unigrama,con,1,1,1
con,"TF-IDF,",1,23,0.043478261
"TF-IDF,",con,1,1,1
con,Frecuencia,1,23,0.043478261
Frecuencia,y,1,1,1
y,con,1,60,0.016666667
con,Binaria,1,23,0.043478261
Binaria,y,1,1,1
y,a,1,60,0.016666667
la,vez,1,89,0.011235955
vez,con,1,1,1
con,"Titulo,",1,23,0.043478261
"Titulo,",Contenido,1,1,1
Contenido,y,1,1,1
y,Titulo,1,60,0.016666667
Titulo,+,1,1,1
+,"Contendio,",1,1,1
"Contendio,",entonces,1,1,1
entonces,si,1,7,0.142857143
si,tenemos,1,15,0.066666667
tenemos,tenemos,1,4,0.25
tenemos,2,1,4,0.25
2,opciones,1,4,0.25
opciones,de,1,2,0.5
de,"Características,",1,74,0.013513514
"Características,",3,1,1,1
de,Representación,1,74,0.013513514
Representación,y,1,1,1
y,3,1,60,0.016666667
de,Elemento,1,74,0.013513514
Elemento,de,1,1,1
de,Comparación,1,74,0.013513514
Comparación,te,1,1,1
te,da,1,7,0.142857143
da,18,1,2,0.5
18,=,1,2,0.5
=,2,1,1,1
2,*,1,4,0.25
3,*,1,6,0.166666667
3,y,1,6,0.166666667
y,plk,1,60,0.016666667
plk,es,1,1,1
un,formato,1,17,0.058823529
formato,de,1,1,1
de,archivo.,1,74,0.013513514
archivo.,</s>,1,1,1
Y,me,1,5,0.2
me,parece,1,19,0.052631579
parece,que,1,3,0.333333333
el,csv,1,59,0.016949153
csv,que,1,3,0.333333333
que,genera,1,97,0.010309278
genera,solo,1,1,1
solo,copia,1,5,0.2
copia,la,1,1,1
la,columna,1,89,0.011235955
columna,que,1,1,1
se,quiere,1,31,0.032258065
quiere,y,1,6,0.166666667
ya,</s>,1,25,0.04
Ah,</s>,1,3,0.333333333
<s>,si,1,488,0.00204918
si,cierto,1,15,0.066666667
cierto,Va,1,1,1
gracias,Rolón,1,11,0.090909091
<s>,import,1,488,0.00204918
import,spacy,1,1,1
spacy,</s>,1,1,1
#,Función,1,2,0.5
Función,para,1,1,1
para,normalizar,1,28,0.035714286
normalizar,texto:,1,1,1
texto:,lematización,1,1,1
lematización,y,1,1,1
