Term 1,Term 2,frequency of bigram,frequency of context (Term 1), conditional probability of bigram
<s>,Qué,1,488,0.00204918
Qué,onda,1,1,1
<s>,Al,1,488,0.00204918
Al,parecer,1,1,1
parecer,va,1,2,0.5
a,haber,1,72,0.013888889
haber,varias,1,1,1
varias,prácticas,1,2,0.5
prácticas,de,1,1,1
de,"equipo,",1,74,0.013513514
"equipo,",entonces,1,2,0.5
entonces,para,1,7,0.142857143
sea,más,1,3,0.333333333
más,dinámico,1,8,0.125
dinámico,nuestro,1,1,1
nuestro,trabajo,1,2,0.5
trabajo,cree,1,1,1
cree,una,1,2,0.5
una,carpeta,1,9,0.111111111
de,Drive,1,74,0.013513514
Drive,para,1,1,1
hacer,los,1,8,0.125
reportes,en,1,2,0.5
en,caso,1,61,0.016393443
caso,que,1,1,1
que,pida,1,97,0.010309278
pida,algo,1,1,1
algo,más,1,3,0.333333333
más,elaborado,1,8,0.125
elaborado,como,1,1,1
como,ahora,1,8,0.125
ahora,y,1,3,0.333333333
también,subir,1,4,0.25
subir,cosas,1,2,0.5
cosas,de,1,2,0.5
de,importancia,1,74,0.013513514
importancia,Y,1,1,1
Y,cree,1,5,0.2
cree,un,1,2,0.5
un,repositorio,1,17,0.058823529
repositorio,de,1,1,1
de,github,1,74,0.013513514
github,para,1,1,1
sea,mas,1,3,0.333333333
mas,facil,1,1,1
facil,que,1,1,1
nos,pasemos,1,7,0.142857143
pasemos,el,1,1,1
codigo,y,1,3,0.333333333
y,que,1,60,0.016666667
que,tengamos,1,97,0.010309278
tengamos,versiones,1,1,1
versiones,anteriores,1,1,1
anteriores,por,1,1,1
por,si,1,20,0.05
si,nos,1,15,0.066666667
nos,equivocamos,1,7,0.142857143
equivocamos,</s>,1,1,1
<s>,"Ala,",1,488,0.00204918
"Ala,",sólo,1,1,1
sólo,de,1,6,0.166666667
de,nosotros,1,74,0.013513514
nosotros,tres?,1,1,1
tres?,</s>,1,1,1
Ah,bueno,1,3,0.333333333
bueno,jaja,1,2,0.5
jaja,</s>,1,1,1
"Hola,",profesor.,1,7,0.142857143
estamos,fuera,1,7,0.142857143
fuera,de,1,2,0.5
su,"cubículo,",1,17,0.058823529
"cubículo,",se,1,1,1
se,encuentra?,1,31,0.032258065
encuentra?,</s>,1,1,1
"Si,",solo,1,5,0.2
solo,era,1,5,0.2
era,para,1,1,1
para,platicar,1,28,0.035714286
platicar,con,1,2,0.5
usted,sobre,1,2,0.5
sobre,nuestro,1,4,0.25
nuestro,TT,1,2,0.5
TT,y,1,2,0.5
y,si,1,60,0.016666667
es,posible,1,25,0.04
posible,hacer,1,1,1
hacer,mi,1,8,0.125
mi,servicio,1,9,0.111111111
social,con,1,2,0.5
con,usted?,1,23,0.043478261
cubículo,o,1,4,0.25
o,en,1,6,0.166666667
el,laboratorio?,1,59,0.016949153
laboratorio?,</s>,1,1,1
"Disculpe,",hubo,1,3,0.333333333
hubo,alguna,1,1,1
alguna,noticia,1,2,0.5
noticia,del,1,1,1
del,servicio,1,11,0.090909091
social,y,1,2,0.5
y,para,1,60,0.016666667
para,juntarnos,1,28,0.035714286
juntarnos,para,1,1,1
para,ver,1,28,0.035714286
ver,lo,1,6,0.166666667
lo,del,1,31,0.032258065
del,TT?,1,11,0.090909091
TT?,</s>,1,1,1
<s>,Hurtado,1,488,0.00204918
Hurtado,Morales,1,1,1
Morales,Emiliano,1,1,1
Emiliano,</s>,1,1,1
"Ok,",muchas,1,8,0.125
"gracias,",profesor.,1,4,0.25
Entonces,ahora,1,5,0.2
ahora,sería,1,3,0.333333333
sería,registrarme,1,3,0.333333333
registrarme,en,1,1,1
el,SISS,1,59,0.016949153
SISS,y,1,1,1
y,enviar,1,60,0.016666667
enviar,la,1,1,1
la,"documentación,",1,89,0.011235955
"documentación,",verdad?,1,1,1
verdad?,</s>,1,1,1
Y,sobre,1,5,0.2
la,"junta,",1,89,0.011235955
"junta,",el,1,1,1
jueves,le,1,2,0.5
le,funciona,1,12,0.083333333
funciona,a,1,2,0.5
Está,libre,1,3,0.333333333
libre,ahora?,1,1,1
ahora?,</s>,1,1,1
Porque,me,1,2,0.5
me,tengo,1,19,0.052631579
tengo,que,1,11,0.090909091
que,retirar,1,97,0.010309278
retirar,a,1,1,1
las,12:30,1,40,0.025
12:30,</s>,1,1,1
"Vale,",voy,1,7,0.142857143
para,allá.,1,28,0.035714286
allá.,</s>,1,1,1
"días,",profe.,1,10,0.1
"Disculpe,",no,1,3,0.333333333
he,podido,1,3,0.333333333
podido,realizar,1,1,1
realizar,las,1,1,1
las,"animaciones,",1,40,0.025
"animaciones,",porque,1,1,1
porque,no,1,6,0.166666667
no,encuentro,1,25,0.04
encuentro,las,1,1,1
las,expresiones,1,40,0.025
expresiones,que,1,2,0.5
que,quiere,1,97,0.010309278
que,"anime,",1,97,0.010309278
"anime,",estas,1,1,1
estas,las,1,2,0.5
las,subió,1,40,0.025
subió,en,1,1,1
un,documento,1,17,0.058823529
documento,o,1,2,0.5
o,están,1,6,0.166666667
las,diapositivas?,1,40,0.025
diapositivas?,</s>,1,1,1
Le,subí,1,2,0.5
presentación,de,1,5,0.2
de,operadores,1,74,0.013513514
operadores,a,1,1,1
la,"carpeta,",1,89,0.011235955
"carpeta,",¿podría,1,1,1
¿podría,"revisarla,",1,1,1
"revisarla,",por,1,1,1
por,"favor,",1,20,0.05
"favor,",y,1,1,1
y,comentarme,1,60,0.016666667
comentarme,que,1,1,1
le,parece?,1,12,0.083333333
Buenos,"dias,",1,11,0.090909091
"dias,",profesor.,1,1,1
<s>,Estuve,1,488,0.00204918
Estuve,haciendo,1,1,1
haciendo,varios,1,3,0.333333333
varios,diseños,1,1,1
diseños,y,1,1,1
y,este,1,60,0.016666667
este,final,1,7,0.142857143
final,es,1,2,0.5
es,el,1,25,0.04
el,que,1,59,0.016949153
me,pareció,1,19,0.052631579
pareció,más,1,1,1
más,adecuado,1,8,0.125
adecuado,para,1,1,1
para,las,1,28,0.035714286
las,apuntadores.,1,40,0.025
apuntadores.,</s>,1,1,1
presentación,al,1,5,0.2
al,"OneDrive,",1,14,0.071428571
"OneDrive,",estoy,1,1,1
estoy,atento,1,18,0.055555556
"Hola,",prof.,1,7,0.142857143
prof.,</s>,1,1,1
poder,entrar?,1,3,0.333333333
entrar?,</s>,1,1,1
Ya,hicimos,1,54,0.018518519
hicimos,revisión,1,1,1
revisión,con,1,2,0.5
con,Alcántara.,1,23,0.043478261
Alcántara.,</s>,1,1,1
"Vale,","maestro,",1,7,0.142857143
"maestro,",quedó,1,4,0.25
quedó,atento.,1,1,1
"Claro,",me,1,14,0.071428571
me,pongo,1,19,0.052631579
pongo,a,1,2,0.5
a,hacerlo.,1,72,0.013888889
hacerlo.,</s>,1,1,1
primera,versión,1,2,0.5
versión,de,1,1,1
los,ejemplos,1,24,0.041666667
ejemplos,del,1,2,0.5
del,PSeInt.,1,11,0.090909091
PSeInt.,</s>,1,1,1
"Claro,",realizo,1,14,0.071428571
realizo,los,1,3,0.333333333
los,ejemplos.,1,24,0.041666667
ejemplos.,</s>,1,1,1
están,arribas,1,7,0.142857143
arribas,mis,1,1,1
mis,propuestas,1,2,0.5
propuestas,de,1,1,1
de,memoria,1,74,0.013513514
memoria,dinámica,1,1,1
dinámica,y,1,1,1
los,ejercicios.,1,24,0.041666667
ejercicios.,</s>,1,1,1
sus,comentarios,1,4,0.25
comentarios,y,1,1,1
y,sin,1,60,0.016666667
problema,hago,1,6,0.166666667
hago,modificaciones.,1,1,1
"Claro,","maestro,",1,14,0.071428571
"maestro,",lo,1,4,0.25
lo,agrego.,1,31,0.032258065
agrego.,</s>,1,1,1
están,arriba,1,7,0.142857143
arriba,las,1,1,1
las,modificaciones.,1,40,0.025
no,tengo.,1,25,0.04
tengo.,</s>,1,1,1
Que,se,1,20,0.05
se,tendría,1,31,0.032258065
tendría,que,1,1,1
que,hacer?,1,97,0.010309278
hacer?,</s>,1,1,1
Entonces,quedo,1,5,0.2
quedo,atento.,1,2,0.5
<s>,Gracias.,1,488,0.00204918
Gracias.,</s>,1,1,1
Buena,tarde.,1,3,0.333333333
tarde.,</s>,1,1,1
que,puede,1,97,0.010309278
puede,intentar,1,7,0.142857143
intentar,con,1,1,1
con,SmallPDF,1,23,0.043478261
SmallPDF,o,1,1,1
o,PDF,1,6,0.166666667
PDF,Candy.,1,1,1
Candy.,</s>,1,1,1
Si,"desea,",1,11,0.090909091
"desea,",mándeme,1,1,1
mándeme,el,1,1,1
pdf,y,1,2,0.5
y,lo,1,60,0.016666667
lo,intento.,1,31,0.032258065
intento.,</s>,1,1,1
"No,",pero,1,15,0.066666667
se,reducio,1,31,0.032258065
reducio,la,1,1,1
la,calidad,1,89,0.011235955
calidad,</s>,1,1,1
<s>,Puedo,1,488,0.00204918
Puedo,intentarlo.,1,1,1
intentarlo.,</s>,1,1,1
cubículo,a,1,4,0.25
<s>,respuesta,1,488,0.00204918
respuesta,</s>,1,1,1
"ok,",pero,1,2,0.5
pero,está,1,13,0.076923077
está,disponible,1,6,0.166666667
disponible,ahora,1,1,1
ahora,u,1,3,0.333333333
u,otro,1,1,1
otro,día,1,4,0.25
día,lo,1,2,0.5
puedo,ver?,1,11,0.090909091
ver?,</s>,1,1,1
Es,para,1,3,0.333333333
la,firma,1,89,0.011235955
de,SS.,1,74,0.013513514
SS.,</s>,1,1,1
"Vale,","gracias,",1,7,0.142857143
"gracias,",maestro.,1,4,0.25
"maestro,",está,1,4,0.25
Año,Nuevo!,1,2,0.5
Nuevo!,</s>,1,1,1
"Disculpe,",qué,1,3,0.333333333
qué,día,1,4,0.25
día,estaría,1,2,0.5
estaría,esta,1,1,1
semana,para,1,4,0.25
para,poder,1,28,0.035714286
poder,ir,1,3,0.333333333
a,firmar,1,72,0.013888889
de,SS?,1,74,0.013513514
"Oh,",una,1,3,0.333333333
una,"disculpa,",1,9,0.111111111
"disculpa,",mañana,1,1,1
no,"puedo,",1,25,0.04
"puedo,",puede,1,1,1
puede,otro,1,7,0.142857143
otro,día?,1,4,0.25
día?,</s>,1,1,1
"Vale,",lo,1,7,0.142857143
lo,veo,1,31,0.032258065
veo,el,1,2,0.5
el,"miércoles,",1,59,0.016949153
"miércoles,",muchas,1,1,1
estado?,Hay,1,5,0.2
Hay,algo,1,3,0.333333333
algo,en,1,3,0.333333333
en,lo,1,61,0.016393443
que,necesite,1,97,0.010309278
necesite,apoyo?,1,1,1
apoyo?,</s>,1,1,1
Me,faltan,1,5,0.2
faltan,3,1,1,1
3,meses,1,6,0.166666667
meses,y,1,1,1
y,medio.,1,60,0.016666667
medio.,</s>,1,1,1
<s>,Termino,1,488,0.00204918
Termino,en,1,1,1
en,mayo,1,61,0.016393443
mayo,16,1,1,1
16,</s>,1,1,1
Se,refiere,1,5,0.2
refiere,a,1,1,1
a,un,1,72,0.013888889
un,forms,1,17,0.058823529
forms,de,1,1,1
de,"Google,",1,74,0.013513514
"Google,",donde,1,2,0.5
donde,haya,1,1,1
haya,opciones,1,1,1
opciones,múltiple,1,2,0.5
múltiple,del,1,1,1
del,número,1,11,0.090909091
número,de,1,1,1
de,ramas,1,74,0.013513514
ramas,y,1,1,1
y,mallas,1,60,0.016666667
mallas,o,1,1,1
o,desea,1,6,0.166666667
desea,que,1,1,1
que,sean,1,97,0.010309278
sean,preguntas,1,1,1
preguntas,abiertas?,1,2,0.5
abiertas?,</s>,1,1,1
"Vale,",cuantos,1,7,0.142857143
cuantos,circuitos,1,1,1
circuitos,desea?,1,1,1
desea?,</s>,1,1,1
me,inscribí.,1,19,0.052631579
inscribí.,</s>,1,1,1
<s>,Asi,1,488,0.00204918
Asi,lo,1,1,1
lo,estoy,1,31,0.032258065
estoy,trabaando.,1,18,0.055555556
trabaando.,</s>,1,1,1
La,evaluación,1,2,0.5
evaluación,del,1,3,0.333333333
del,tutor?,1,11,0.090909091
tutor?,</s>,1,1,1
"Uy,",ahorita,1,2,0.5
ahorita,estoy,1,4,0.25
estoy,revisando,1,18,0.055555556
revisando,pero,1,1,1
pero,no,1,13,0.076923077
no,me,1,25,0.04
me,deja,1,19,0.052631579
deja,verla.,1,2,0.5
verla.,</s>,1,1,1
<s>,De,1,488,0.00204918
De,lo,1,1,1
que,recuerdo,1,97,0.010309278
recuerdo,son,1,3,0.333333333
son,preguntas,1,9,0.111111111
preguntas,sobre,1,2,0.5
sobre,los,1,4,0.25
los,valores,1,24,0.041666667
valores,politécnicos,1,1,1
politécnicos,que,1,1,1
se,presentaron,1,31,0.032258065
presentaron,en,1,1,1
la,"tutoría,",1,89,0.011235955
"tutoría,",pero,1,1,1
pero,más,1,13,0.076923077
más,allá,1,8,0.125
allá,de,1,1,1
de,eso,1,74,0.013513514
eso,no,1,7,0.142857143
no,recuerdo,1,25,0.04
recuerdo,que,1,3,0.333333333
se,pregunte,1,31,0.032258065
pregunte,exactamente,1,1,1
exactamente,sobre,1,1,1
la,identidad,1,89,0.011235955
identidad,politécnica.,1,1,1
politécnica.,</s>,1,1,1
Si,recuerdo,1,11,0.090909091
recuerdo,algo,1,3,0.333333333
algo,"especifico,",1,3,0.333333333
"especifico,",se,1,1,1
se,lo,1,31,0.032258065
lo,"comento,",1,31,0.032258065
"comento,",pero,1,1,1
pero,hace,1,13,0.076923077
hace,tiempo,1,5,0.2
tiempo,que,1,3,0.333333333
que,hice,1,97,0.010309278
hice,la,1,2,0.5
la,evaluación,1,89,0.011235955
evaluación,y,1,3,0.333333333
y,no,1,60,0.016666667
no,lo,1,25,0.04
tengo,fresco.,1,11,0.090909091
fresco.,</s>,1,1,1
subí,el,1,6,0.166666667
el,"forms,",1,59,0.016949153
"forms,",decidí,1,1,1
decidí,usar,1,1,1
usar,"Google,",1,2,0.5
"Google,",porque,1,2,0.5
porque,tiene,1,6,0.166666667
tiene,más,1,3,0.333333333
más,funcionalidades,1,8,0.125
funcionalidades,para,1,1,1
hacer,un,1,8,0.125
un,cuestionario,1,17,0.058823529
cuestionario,y,1,1,1
y,analizar,1,60,0.016666667
analizar,las,1,1,1
las,respuestas.,1,40,0.025
respuestas.,</s>,1,1,1
"Si,",está,1,5,0.2
carpeta,una,1,5,0.2
una,URL,1,9,0.111111111
URL,que,1,1,1
llama,"circuitos,",1,2,0.5
"circuitos,",coménteme,1,1,1
coménteme,si,1,1,1
si,le,1,15,0.066666667
le,deja,1,12,0.083333333
deja,entrar,1,2,0.5
entrar,cuando,1,1,1
cuando,pueda.,1,4,0.25
pueda.,</s>,1,1,1
ya,inicié,1,25,0.04
inicié,el,1,1,1
curso,que,1,2,0.5
me,comentó.,1,19,0.052631579
comentó.,</s>,1,1,1
Mañana,lo,1,2,0.5
puedo,encontrar,1,11,0.090909091
encontrar,a,1,2,0.5
"Claro,",tiene,1,14,0.071428571
tiene,el,1,3,0.333333333
código,para,1,2,0.5
lo,pueda,1,31,0.032258065
pueda,copiar,1,2,0.5
copiar,y,1,1,1
y,pegar?,1,60,0.016666667
pegar?,</s>,1,1,1
"Vale,",no,1,7,0.142857143
se,"preocupe,",1,31,0.032258065
"preocupe,",entonces,1,1,1
entonces,lo,1,7,0.142857143
lo,copio,1,31,0.032258065
copio,a,1,1,1
a,mano.,1,72,0.013888889
mano.,</s>,1,1,1
#,Importamos,1,2,0.5
Importamos,la,1,1,1
la,biblioteca,1,89,0.011235955
biblioteca,re,1,1,1
re,para,1,1,1
para,expresiones,1,28,0.035714286
expresiones,regulares,1,2,0.5
regulares,</s>,1,1,1
Hoy,no,1,2,0.5
no,fui,1,25,0.04
fui,a,1,1,1
la,"escuela,",1,89,0.011235955
"escuela,",porque,1,1,1
porque,tengo,1,6,0.166666667
tengo,lastimado,1,11,0.090909091
lastimado,mi,1,1,1
mi,"pie,",1,9,0.111111111
"pie,",mañana,1,1,1
mañana,creo,1,6,0.166666667
creo,ya,1,13,0.076923077
ya,estar,1,25,0.04
estar,"bien,",1,3,0.333333333
"bien,",puede,1,17,0.058823529
puede,igual,1,7,0.142857143
igual,a,1,2,0.5
"Gracias,",maestro,1,5,0.2
maestro,Pero,1,5,0.2
Pero,yo,1,6,0.166666667
que,mañana,1,97,0.010309278
mañana,si,1,6,0.166666667
si,puedo,1,15,0.066666667
puedo,"estar,",1,11,0.090909091
"estar,",si,1,2,0.5
si,quiere,1,15,0.066666667
quiere,lo,1,6,0.166666667
puedo,ver,1,11,0.090909091
su,cubículo.,1,17,0.058823529
cubículo.,</s>,1,1,1
"Claro,",lo,1,14,0.071428571
lo,realizo,1,31,0.032258065
Ya,"mejor,",1,54,0.018518519
"mejor,",profe.,1,2,0.5
Pero,sigo,1,6,0.166666667
sigo,con,1,1,1
con,un,1,23,0.043478261
un,poco,1,17,0.058823529
de,dolor.,1,74,0.013513514
dolor.,</s>,1,1,1
"Si,",estuve,1,5,0.2
estuve,tomando,1,1,1
tomando,esta,1,1,1
semana,la,1,4,0.25
la,medicina,1,89,0.011235955
medicina,que,1,1,1
el,médico.,1,59,0.016949153
"Gracias,",profe.,1,5,0.2
"Listo,",prof,1,4,0.25
prof,</s>,1,2,0.5
Ya,mucho,1,54,0.018518519
mucho,"mejor,",1,4,0.25
"mejor,",siento,1,2,0.5
siento,algunas,1,1,1
algunas,"punzadas,",1,3,0.333333333
"punzadas,",pero,1,1,1
ya,puedo,1,25,0.04
puedo,caminar,1,11,0.090909091
caminar,bien.,1,1,1
"Si,",tomé,1,5,0.2
tomé,algunas,1,1,1
algunas,pastillas,1,3,0.333333333
pastillas,y,1,1,1
el,diclofenaco,1,59,0.016949153
diclofenaco,</s>,1,1,1
<s>,3.2,1,488,0.00204918
3.2,Descripción,1,1,1
Descripción,de,1,1,1
de,cómo,1,74,0.013513514
cómo,se,1,2,0.5
se,fomenta,1,31,0.032258065
fomenta,cada,1,1,1
cada,eje,1,2,0.5
eje,transversal,1,1,1
transversal,institucional,1,1,1
institucional,en,1,1,1
la,unidad,1,89,0.011235955
unidad,de,1,1,1
de,aprendizaje,1,74,0.013513514
aprendizaje,</s>,1,1,1
"Claro,",en,1,14,0.071428571
en,qué,1,61,0.016393443
qué,le,1,4,0.25
le,puedo,1,12,0.083333333
puedo,ayudar?,1,11,0.090909091
ayudar?,</s>,1,1,1
Entonces,quiere,1,5,0.2
le,de,1,12,0.083333333
de,algunos,1,74,0.013513514
algunos,ejemplos,1,1,1
ejemplos,usando,1,2,0.5
usando,numpy?,1,1,1
numpy?,</s>,1,1,1
Lo,empiezo,1,3,0.333333333
empiezo,a,1,1,1
a,trabajar,1,72,0.013888889
trabajar,</s>,1,1,1
"maestro,",este,1,4,0.25
este,sería,1,7,0.142857143
sería,el,1,3,0.333333333
código,que,1,2,0.5
que,creo,1,97,0.010309278
creo,resulve,1,13,0.076923077
resulve,su,1,1,1
su,evaluación,1,17,0.058823529
evaluación,</s>,1,3,0.333333333
También,lo,1,5,0.2
lo,pongo,1,31,0.032258065
pongo,en,1,2,0.5
carpeta,</s>,1,5,0.2
"Bien,",ya,1,3,0.333333333
estoy,totalmente,1,18,0.055555556
totalmente,"recuperado,",1,1,1
"recuperado,",muchas,1,1,1
Lo,realizo,1,3,0.333333333
<s>,Buen,1,488,0.00204918
Buen,fin,1,1,1
de,semana,1,74,0.013513514
semana,largo,1,4,0.25
largo,</s>,1,1,1
<s>,#include,1,488,0.00204918
#include,<stdio.h>,1,1,1
<stdio.h>,</s>,1,1,1
Ya,quedaron,1,54,0.018518519
quedaron,las,1,1,1
presentaciones,de,1,2,0.5
las,librerías,1,40,0.025
librerías,y,1,1,1
y,scanf.,1,60,0.016666667
scanf.,</s>,1,1,1
Ya,subí,1,54,0.018518519
subí,las,1,6,0.166666667
presentaciones,y,1,2,0.5
códigos,a,1,2,0.5
la,carpeta.,1,89,0.011235955
carpeta.,</s>,1,1,1
<s>,¿Mañana,1,488,0.00204918
¿Mañana,puedo,1,1,1
puedo,pasar,1,11,0.090909091
pasar,con,1,3,0.333333333
usted,a,1,2,0.5
1,para,1,6,0.166666667
para,firmar,1,28,0.035714286
<s>,A,1,488,0.00204918
A,la,1,1,1
1,tenía,1,6,0.166666667
tenía,"pensado,",1,1,1
"pensado,",espero,1,1,1
espero,terminar,1,2,0.5
terminar,a,1,1,1
a,tiempo,1,72,0.013888889
tiempo,la,1,3,0.333333333
la,revisión,1,89,0.011235955
revisión,de,1,2,0.5
seguimiento,con,1,2,0.5
con,Ulises.,1,23,0.043478261
Ulises.,</s>,1,1,1
Nos,tocó,1,2,0.5
tocó,como,1,2,0.5
como,profesor,1,8,0.125
profesor,de,1,1,1
seguimiento,</s>,1,2,0.5
Mañana,vamos,1,2,0.5
a,platicar,1,72,0.013888889
platicar,de,1,2,0.5
de,todo,1,74,0.013513514
todo,eso,1,6,0.166666667
Claro,</s>,1,3,0.333333333
"Igual,",maestro.,1,2,0.5
<s>,Excelentes,1,488,0.00204918
Excelentes,vacaciones,1,1,1
vacaciones,</s>,1,1,1
Ya,realicé,1,54,0.018518519
realicé,la,1,3,0.333333333
también,subí,1,4,0.25
subí,los,1,6,0.166666667
códigos,que,1,2,0.5
que,utilicé.,1,97,0.010309278
utilicé.,</s>,1,1,1
<s>,Todo,1,488,0.00204918
Todo,lo,1,2,0.5
lo,puse,1,31,0.032258065
de,Lenguaje,1,74,0.013513514
Lenguaje,C/Estructuras,1,1,1
C/Estructuras,de,1,1,1
de,seleccion,1,74,0.013513514
seleccion,</s>,1,1,1
Nos,puede,1,2,0.5
puede,pasar,1,7,0.142857143
pasar,cuando,1,3,0.333333333
cuando,pueda,1,4,0.25
pueda,los,1,2,0.5
los,"documentos,",1,24,0.041666667
"documentos,",por,1,1,1
"Vale,",muchas,1,7,0.142857143
"gracias,",maestro!,1,4,0.25
maestro!,Buena,1,1,1
Buena,noche,1,3,0.333333333
noche,</s>,1,1,1
El,viernes,1,2,0.5
viernes,puedo,1,1,1
puedo,ir,1,11,0.090909091
las,10:00,1,40,0.025
10:00,a,1,1,1
firma,de,1,3,0.333333333
de,los,1,74,0.013513514
reportes,del,1,2,0.5
del,SS?,1,11,0.090909091
<s>,"Ah,",1,488,0.00204918
"Ah,",muy,1,1,1
muy,"bien,",1,8,0.125
"bien,",maestro.,1,17,0.058823529
Muchas,"gracias,",1,4,0.25
"gracias,",me,1,4,0.25
me,puede,1,19,0.052631579
puede,recuperar,1,7,0.142857143
recuperar,por,1,1,1
por,completo,1,20,0.05
completo,</s>,1,1,1
<s>,Maestro,1,488,0.00204918
Maestro,"Figueroa,",1,1,1
"Figueroa,",mañana,1,1,1
mañana,puede,1,6,0.166666667
puede,llevar,1,7,0.142857143
llevar,su,1,1,1
su,aparato,1,17,0.058823529
aparato,que,1,1,1
nos,permite,1,7,0.142857143
permite,mover,1,1,1
mover,la,1,1,1
presentación,a,1,5,0.2
a,"distancia,",1,72,0.013888889
"distancia,",por,1,1,1
Muchas,</s>,1,4,0.25
<s>,gracias,1,488,0.00204918
maestro,Desde,1,5,0.2
Desde,la,1,1,1
la,semana,1,89,0.011235955
semana,que,1,4,0.25
me,"firmó,",1,19,0.052631579
"firmó,",realicé,1,1,1
realicé,el,1,3,0.333333333
el,proceso,1,59,0.016949153
proceso,y,1,1,1
tengo,mi,1,11,0.090909091
mi,carta,1,9,0.111111111
carta,de,1,1,1
de,término,1,74,0.013513514
término,e,1,1,1
e,hice,1,1,1
hice,los,1,2,0.5
los,procesos,1,24,0.041666667
procesos,que,1,1,1
me,indicaron,1,19,0.052631579
indicaron,ahí.,1,1,1
Ahorita,ya,1,2,0.5
ya,sería,1,25,0.04
sería,esperar,1,3,0.333333333
que,verifiquen,1,97,0.010309278
todo,está,1,6,0.166666667
Buenas,tardes,1,13,0.076923077
tardes,maestro,1,1,1
maestro,Todo,1,5,0.2
Todo,bien,1,2,0.5
bien,muchas,1,23,0.043478261
gracias,y,1,11,0.090909091
y,usted?,1,60,0.016666667
<s>,Todavía,1,488,0.00204918
Todavía,tengo,1,1,1
tengo,este,1,11,0.090909091
semestre,materias,1,8,0.125
materias,Empezaría,1,1,1
Empezaría,los,1,1,1
los,trámites,1,24,0.041666667
trámites,el,1,1,1
el,próximo,1,59,0.016949153
próximo,semestre,1,1,1
semestre,Pero,1,8,0.125
Pero,ya,1,6,0.166666667
tengo,todo,1,11,0.090909091
todo,solo,1,6,0.166666667
solo,es,1,5,0.2
es,acabar,1,25,0.04
acabar,este,1,1,1
Ya,la,1,54,0.018518519
la,realicé,1,89,0.011235955
realicé,Llevo,1,3,0.333333333
Llevo,trabajando,1,1,1
trabajando,ya,1,3,0.333333333
ya,tiempo,1,25,0.04
tiempo,</s>,1,3,0.333333333
Si,Ya,1,11,0.090909091
tengo,registrado,1,11,0.090909091
registrado,en,1,1,1
en,mi,1,61,0.016393443
mi,SAES,1,9,0.111111111
SAES,</s>,1,1,1
maestro,Claro,1,5,0.2
Claro,la,1,3,0.333333333
la,he,1,89,0.011235955
he,tenido,1,3,0.333333333
tenido,durante,1,1,1
durante,la,1,1,1
la,"uni,",1,89,0.011235955
"uni,",tengo,1,1,1
tengo,pensado,1,11,0.090909091
pensado,en,1,1,1
en,pedirla,1,61,0.016393443
pedirla,este,1,1,1
semestre,también,1,8,0.125
también,</s>,1,4,0.25
"No,",ese,1,15,0.066666667
ese,monto,1,2,0.5
monto,es,1,1,1
es,por,1,25,0.04
y,luego,1,60,0.016666667
luego,se,1,2,0.5
se,reválida,1,31,0.032258065
reválida,para,1,1,1
para,el,1,28,0.035714286
siguiente,semestre,1,2,0.5
"No,",sólo,1,15,0.066666667
exhibición,</s>,1,2,0.5
Si,todos,1,11,0.090909091
los,montos,1,24,0.041666667
montos,son,1,1,1
son,sólo,1,9,0.111111111
exhibición,por,1,2,0.5
y,la,1,60,0.016666667
la,beca,1,89,0.011235955
beca,BEIFI,1,1,1
BEIFI,son,1,2,0.5
son,1400,1,9,0.111111111
1400,mensuales,1,1,1
mensuales,por,1,1,1
por,5,1,20,0.05
5,"meses,",1,3,0.333333333
"meses,",entonces,1,1,1
entonces,son,1,7,0.142857143
son,7000,1,9,0.111111111
7000,por,1,1,1
Y,la,1,5,0.2
la,BEIFI,1,89,0.011235955
BEIFI,es,1,2,0.5
es,compatible,1,25,0.04
compatible,con,1,1,1
con,todas,1,23,0.043478261
las,becas,1,40,0.025
becas,</s>,1,1,1
Claro,maestro,1,3,0.333333333
maestro,Muchas,1,5,0.2
"Felicidades,",Ale.,1,3,0.333333333
<s>,¿Que,1,488,0.00204918
¿Que,tal?,1,1,1
tal?,¿Como,1,1,1
<s>,Tranqui,1,488,0.00204918
Tranqui,por,1,1,1
por,acá.,1,20,0.05
<s>,Acabo,1,488,0.00204918
Acabo,de,1,1,1
de,regresar,1,74,0.013513514
regresar,del,1,1,1
del,basket.,1,11,0.090909091
basket.,</s>,1,1,1
<s>,¿Ya,1,488,0.00204918
¿Ya,llegaron?,1,1,1
llegaron?,</s>,1,1,1
<s>,Nada,1,488,0.00204918
Nada,más,1,1,1
más,estuvo,1,8,0.125
el,Gael,1,59,0.016949153
Gael,y,1,1,1
el,de,1,59,0.016949153
de,gorrita.,1,74,0.013513514
gorrita.,</s>,1,1,1
"Hola,",familia.,1,7,0.142857143
<s>,"Oigan,",1,488,0.00204918
"Oigan,",¿tenemos,1,1,1
¿tenemos,planes,1,1,1
planes,para,1,1,1
para,fin,1,28,0.035714286
<s>,"Ahh,",1,488,0.00204918
"Ahh,","bueno,",1,1,1
"bueno,","entonces,",1,1,1
"entonces,","ma,",1,1,1
"ma,",¿hay,1,3,0.333333333
¿hay,problema,1,1,1
problema,si,1,6,0.166666667
si,me,1,15,0.066666667
me,voy,1,19,0.052631579
voy,con,1,11,0.090909091
con,mi,1,23,0.043478261
mi,papá,1,9,0.111111111
papá,el,1,1,1
el,fin,1,59,0.016949153
