Term 1,Term 2,frequency of bigram,frequency of context (Term 1), conditional probability of bigram
solo,no,1,3,0.3333333333333333
no,queria,1,44,0.022727272727272728
queria,vernos,1,1,1.0
vernos,JAJAJA,1,1,1.0
Holi,"chicas,",1,9,0.1111111111111111
"chicas,",</s>,1,1,1.0
<s>,oye,1,396,0.0025252525252525255
oye,Citlalli,1,1,1.0
Citlalli,tendrás,1,22,0.045454545454545456
tendrás,todavía,1,1,1.0
todavía,la,1,1,1.0
la,clave,1,53,0.018867924528301886
clave,del,1,1,1.0
del,Google,1,5,0.2
Google,maps?,1,2,0.5
maps?,</s>,1,1,1.0
<s>,Pofavo,1,396,0.0025252525252525255
Pofavo,jajaja,1,1,1.0
si,la,1,37,0.02702702702702703
la,ocupo,1,53,0.018867924528301886
ocupo,jaaja,1,1,1.0
jaaja,</s>,1,1,1.0
no,para,1,44,0.022727272727272728
para,que,1,21,0.047619047619047616
que,Mily,1,96,0.010416666666666666
Mily,pueda,1,20,0.05
pueda,sacar,1,3,0.3333333333333333
sacar,una,1,1,1.0
una,pofavo,1,5,0.2
yo,también,1,9,0.1111111111111111
me,acabe,1,24,0.041666666666666664
acabe,la,1,1,1.0
la,mía,1,53,0.018867924528301886
mía,jajajaj,1,1,1.0
Citlalli,lo,1,22,0.045454545454545456
que,son,1,96,0.010416666666666666
son,6,1,2,0.5
6,meses,1,1,1.0
meses,máximo,1,2,0.5
máximo,</s>,1,1,1.0
<s>,Citlalli,1,396,0.0025252525252525255
Citlalli,creo,1,22,0.045454545454545456
se,acuerda,1,11,0.09090909090909091
acuerda,más,1,1,1.0
más,que,1,5,0.2
yo,jajajaja,1,9,0.1111111111111111
Mily,te,1,20,0.05
te,vi,1,9,0.1111111111111111
vi,en,1,4,0.25
el,metro,1,27,0.037037037037037035
metro,JAJAAJA,1,1,1.0
JAJAAJA,</s>,1,1,1.0
<s>,Bajaste,1,396,0.0025252525252525255
Bajaste,donde,1,1,1.0
donde,yo,1,3,0.3333333333333333
yo,entre,1,9,0.1111111111111111
entre,jaajaja,1,1,1.0
jaajaja,</s>,1,1,1.0
Si,si,1,69,0.014492753623188406
si,vi,1,37,0.02702702702702703
vi,Mily,1,4,0.25
Mily,jajajaja,1,20,0.05
Si,gracias,1,69,0.014492753623188406
Mily,🫶,1,20,0.05
bueno,Citlalli,1,7,0.14285714285714285
Citlalli,que,1,22,0.045454545454545456
que,todo,1,96,0.010416666666666666
todo,va,1,5,0.2
va,bien,1,3,0.3333333333333333
bien,🫰,1,16,0.0625
Para,poder,1,5,0.2
poder,ver,1,3,0.3333333333333333
ver,la,1,7,0.14285714285714285
la,parte,1,53,0.018867924528301886
parte,que,1,1,1.0
que,ladra,1,96,0.010416666666666666
ladra,JAJAJAJAJA,1,1,1.0
JAJAJAJAJA,</s>,1,1,1.0
Oye,Citlalli,1,2,0.5
Citlalli,como,1,22,0.045454545454545456
se,llama,1,11,0.09090909090909091
llama,la,1,1,1.0
la,pagina,1,53,0.018867924528301886
pagina,que,1,1,1.0
usabas,para,1,2,0.5
el,mapa,1,27,0.037037037037037035
mapa,que,1,1,1.0
no,necesitaba,1,44,0.022727272727272728
necesitaba,api,1,1,1.0
que,dice,1,96,0.010416666666666666
que,los,1,96,0.010416666666666666
los,creditos,1,7,0.14285714285714285
creditos,duran,1,1,1.0
duran,90,1,1,1.0
90,dias,1,1,1.0
dias,</s>,1,1,1.0
<s>,Mmm,1,396,0.0025252525252525255
Mmm,es,1,1,1.0
me,convence,1,24,0.041666666666666664
convence,ya,1,1,1.0
ya,tanto,1,21,0.047619047619047616
tanto,usar,1,2,0.5
usar,Google,1,2,0.5
Google,Citlalli,1,2,0.5
Porque,lo,1,8,0.125
que,este,1,96,0.010416666666666666
este,si,1,2,0.5
si,nos,1,37,0.02702702702702703
nos,cueste,1,7,0.14285714285714285
cueste,</s>,1,1,1.0
eso,quiero,1,10,0.1
quiero,intentar,1,1,1.0
intentar,con,1,1,1.0
el,que,1,27,0.037037037037037035
usabas,</s>,1,2,0.5
Solo,</s>,1,3,0.3333333333333333
Gracias,Citlalli,1,3,0.3333333333333333
Solo,es,1,3,0.3333333333333333
es,para,1,23,0.043478260869565216
probar,Citlalli,1,4,0.25
<s>,Porqie,1,396,0.0025252525252525255
Porqie,necesito,1,1,1.0
necesito,probar,1,2,0.5
probar,el,1,4,0.25
back,antes,1,2,0.5
antes,de,1,2,0.5
de,usar,1,43,0.023255813953488372
usar,la,1,2,0.5
la,api,1,53,0.018867924528301886
La,api,1,2,0.5
key,va,1,3,0.3333333333333333
va,en,1,3,0.3333333333333333
el,front,1,27,0.037037037037037035
front,</s>,1,1,1.0
Chicas,hoy,1,6,0.16666666666666666
hoy,llegaron,1,2,0.5
llegaron,temprano?,1,1,1.0
temprano?,</s>,1,1,1.0
tengo,la,1,7,0.14285714285714285
información,del,1,2,0.5
del,de,1,5,0.2
<s>,Resulta,1,396,0.0025252525252525255
Resulta,que,1,1,1.0
hay,reuniones,1,4,0.25
reuniones,</s>,1,1,1.0
Porque,esta,1,8,0.125
Que,todo,1,6,0.16666666666666666
todo,será,1,5,0.2
será,por,1,2,0.5
por,una,1,7,0.14285714285714285
una,plataforma,1,5,0.2
plataforma,</s>,1,1,1.0
Solo,será,1,3,0.3333333333333333
será,firmar,1,2,0.5
firmar,la,1,1,1.0
la,calificación,1,53,0.018867924528301886
calificación,final,1,1,1.0
final,</s>,1,2,0.5
Pero,les,1,13,0.07692307692307693
les,iba,1,5,0.2
a,decir,1,24,0.041666666666666664
decir,que,1,2,0.5
si,pueden,1,37,0.02702702702702703
pueden,buscarlo,1,2,0.5
buscarlo,en,1,1,1.0
tarde,pofavo,1,2,0.5
Para,dejar,1,5,0.2
dejar,nuestros,1,1,1.0
nuestros,datos,1,1,1.0
datos,de,1,4,0.25
de,contacto,1,43,0.023255813953488372
contacto,</s>,1,1,1.0
Porque,ahorita,1,8,0.125
ahorita,que,1,4,0.25
Mily,también,1,20,0.05
también,hace,1,8,0.125
hace,rato,1,2,0.5
rato,que,1,5,0.2
Ah,pipipi,1,4,0.25
Pues,voy,1,13,0.07692307692307693
a,darme,1,24,0.041666666666666664
darme,mis,1,1,1.0
mis,vueltas,1,1,1.0
vueltas,Mily,1,1,1.0
si,lo,1,37,0.02702702702702703
lo,llego,1,23,0.043478260869565216
llego,a,1,2,0.5
ver,</s>,1,7,0.14285714285714285
Citlalli,es,1,22,0.045454545454545456
es,muy,1,23,0.043478260869565216
muy,raro,1,4,0.25
raro,verlo,1,1,1.0
verlo,</s>,1,1,1.0
<s>,JAJAJAJAJAJA,1,396,0.0025252525252525255
JAJAJAJAJAJA,</s>,1,1,1.0
No,bueno,1,10,0.1
bueno,jajaja,1,7,0.14285714285714285
No,hasta,1,10,0.1
eso,no,1,10,0.1
pues,con,1,4,0.25
con,razón,1,13,0.07692307692307693
razón,nunca,1,2,0.5
nunca,te,1,2,0.5
te,la,1,9,0.1111111111111111
la,pierdes,1,53,0.018867924528301886
pierdes,😂,1,1,1.0
<s>,Dime,1,396,0.0025252525252525255
Dime,bonita,1,1,1.0
Ay,no,1,2,0.5
<s>,Estuvo,1,396,0.0025252525252525255
Estuvo,feo?,1,1,1.0
feo?,</s>,1,1,1.0
En,donde,1,2,0.5
donde,fue,1,3,0.3333333333333333
fue,bonita?,1,5,0.2
menos,mimi,1,5,0.2
<s>,Iba,1,396,0.0025252525252525255
Iba,contigo?,1,1,1.0
contigo?,</s>,1,1,1.0
<s>,Hijoles,1,396,0.0025252525252525255
Hijoles,</s>,1,1,1.0
<s>,Siguen,1,396,0.0025252525252525255
Siguen,ahí?,1,1,1.0
ahí?,</s>,1,1,1.0
Entonces,otra,1,4,0.25
vez,nos,1,5,0.2
nos,quedaremos,1,7,0.14285714285714285
quedaremos,sin,1,1,1.0
sin,carro,1,4,0.25
carro,</s>,1,1,1.0
menos,están,1,5,0.2
mimi,❤‍🩹,1,98,0.01020408163265306
Si,pues,1,69,0.014492753623188406
pues,lo,1,4,0.25
si,bonita,1,37,0.02702702702702703
ya,que,1,21,0.047619047619047616
que,vamos,1,96,0.010416666666666666
vamos,a,1,4,0.25
a,regresar,1,24,0.041666666666666664
regresar,a,1,1,1.0
mimi,lo,1,98,0.01020408163265306
lo,bueno,1,23,0.043478260869565216
no,fue,1,44,0.022727272727272728
fue,nada,1,5,0.2
nada,grave,1,7,0.14285714285714285
grave,❤‍🩹,1,1,1.0
es,con,1,23,0.043478260869565216
con,la,1,13,0.07692307692307693
la,Q,1,53,0.018867924528301886
Q,</s>,1,1,1.0
Así,también,1,2,0.5
también,es,1,8,0.125
es,el,1,23,0.043478260869565216
mi,laptop,1,14,0.07142857142857142
laptop,</s>,1,1,1.0
mimi,es,1,98,0.01020408163265306
se,porque,1,11,0.09090909090909091
porque,algunos,1,6,0.16666666666666666
algunos,son,1,1,1.0
son,"así,",1,2,0.5
"así,",a,1,1,1.0
mi,también,1,14,0.07142857142857142
también,me,1,8,0.125
me,costó,1,24,0.041666666666666664
costó,jajaja,1,1,1.0
No,creo,1,10,0.1
creo,mimi,1,7,0.14285714285714285
no,también,1,44,0.022727272727272728
también,se,1,8,0.125
se,puede,1,11,0.09090909090909091
puede,con,1,7,0.14285714285714285
con,Bluetooth,1,13,0.07692307692307693
checo,</s>,1,2,0.5
<s>,Mmmm,1,396,0.0025252525252525255
Mmmm,</s>,1,1,1.0
ver,pon,1,7,0.14285714285714285
pon,el,1,1,1.0
el,mouse,1,27,0.037037037037037035
mouse,en,1,1,1.0
en,Bluetooth,1,28,0.03571428571428571
Y,ve,1,10,0.1
ve,en,1,1,1.0
tu,computadora,1,2,0.5
computadora,que,1,1,1.0
que,dispositivos,1,96,0.010416666666666666
dispositivos,te,1,1,1.0
te,aparecen,1,9,0.1111111111111111
aparecen,</s>,1,1,1.0
<s>,Dale,1,396,0.0025252525252525255
Dale,</s>,1,1,1.0
<s>,en,1,396,0.0025252525252525255
en,agregar,1,28,0.03571428571428571
agregar,dispositivo,1,1,1.0
dispositivo,</s>,1,1,1.0
checo,yo,1,2,0.5
yo,</s>,1,9,0.1111111111111111
mimi,desde,1,98,0.01020408163265306
desde,las,1,1,1.0
las,9,1,12,0.08333333333333333
9,</s>,1,1,1.0
mimi,con,1,98,0.01020408163265306
con,cuidado,1,13,0.07692307692307693
cuidado,💖,1,1,1.0
Al,rato,1,2,0.5
me,cuentas,1,24,0.041666666666666664
cuentas,bien,1,1,1.0
Ya,va,1,12,0.08333333333333333
va,a,1,3,0.3333333333333333
a,empezar,1,24,0.041666666666666664
empezar,mi,1,3,0.3333333333333333
mi,examen,1,14,0.07142857142857142
examen,</s>,1,1,1.0
las,11:15,1,12,0.08333333333333333
11:15,</s>,1,1,1.0
las,9:45,1,12,0.08333333333333333
9:45,mim8,1,1,1.0
mim8,</s>,1,1,1.0
<s>,Cuando,1,396,0.0025252525252525255
Cuando,salí,1,1,1.0
salí,no,1,1,1.0
me,duele,1,24,0.041666666666666664
duele,mucho,1,2,0.5
mucho,mi,1,1,1.0
mi,oído,1,14,0.07142857142857142
oído,</s>,1,1,1.0
mimi,no,1,98,0.01020408163265306
no,traigo,1,44,0.022727272727272728
traigo,</s>,1,1,1.0
Me,duele,1,4,0.25
duele,mimi,1,2,0.5
<s>,Desde,1,396,0.0025252525252525255
Desde,varios,1,1,1.0
varios,días,1,1,1.0
días,</s>,1,1,1.0
Pero,ahora,1,13,0.07692307692307693
si,ya,1,37,0.02702702702702703
no,lo,1,44,0.022727272727272728
lo,aguanto,1,23,0.043478260869565216
aguanto,</s>,1,1,1.0
Porque,pensé,1,8,0.125
se,iba,1,11,0.09090909090909091
a,quitar,1,24,0.041666666666666664
quitar,</s>,1,1,1.0
A,la,1,7,0.14285714285714285
la,1:30,1,53,0.018867924528301886
Pues,al,1,13,0.07692307692307693
no,falta,1,44,0.022727272727272728
falta,tanto,1,5,0.2
tanto,mimi,1,2,0.5
que,hay,1,96,0.010416666666666666
hay,doctor,1,4,0.25
doctor,</s>,1,2,0.5
Pero,paso?,1,13,0.07692307692307693
paso?,</s>,1,1,1.0
no,ya,1,44,0.022727272727272728
ya,en,1,21,0.047619047619047616
en,un,1,28,0.03571428571428571
un,rato,1,3,0.3333333333333333
me,voy,1,24,0.041666666666666664
no,sé,1,44,0.022727272727272728
sé,</s>,1,1,1.0
Si,me,1,69,0.014492753623188406
me,siento,1,24,0.041666666666666664
siento,mal,1,1,1.0
mal,</s>,1,1,1.0
Ahorita,le,1,2,0.5
hablo,</s>,1,2,0.5
Ya,nos,1,12,0.08333333333333333
nos,vamos,1,7,0.14285714285714285
vamos,mimi,1,4,0.25
<s>,"No,",1,396,0.0025252525252525255
"No,",porque,1,1,1.0
porque,el,1,6,0.16666666666666666
niño,cuando,1,3,0.3333333333333333
cuando,puso,1,3,0.3333333333333333
puso,que,1,1,1.0
ya,salio,1,21,0.047619047619047616
salio,</s>,1,1,1.0
El,niño,1,2,0.5
niño,ya,1,3,0.3333333333333333
ya,iba,1,21,0.047619047619047616
iba,en,1,4,0.25
la,raza,1,53,0.018867924528301886
raza,</s>,1,1,1.0
Entonces,nos,1,4,0.25
nos,gano,1,7,0.14285714285714285
gano,</s>,1,1,1.0
Ya,fui,1,12,0.08333333333333333
fui,al,1,3,0.3333333333333333
al,doctor,1,10,0.1
doctor,mimi,1,2,0.5
Mimi,puede,1,4,0.25
puede,ir,1,7,0.14285714285714285
Axel,al,1,3,0.3333333333333333
rato,por,1,5,0.2
por,un,1,7,0.14285714285714285
un,pozole?,1,3,0.3333333333333333
pozole?,</s>,1,1,1.0
Ya,vamos,1,12,0.08333333333333333
estamos,afuera,1,2,0.5
afuera,mimi,1,2,0.5
Mimi,ya,1,4,0.25
me,mandaron,1,24,0.041666666666666664
información,de,1,2,0.5
mi,pago,1,14,0.07142857142857142
pago,de,1,1,1.0
de,inglés,1,43,0.023255813953488372
Se,te,1,2,0.5
te,hacen,1,9,0.1111111111111111
hacen,bonitos,1,1,1.0
bonitos,mimi?,1,1,1.0
O,estos?,1,4,0.25
estos?,</s>,1,1,1.0
Si,"mimi,",1,69,0.014492753623188406
"mimi,",pero,1,2,0.5
pero,quería,1,4,0.25
quería,ver,1,2,0.5
que,opinabas,1,96,0.010416666666666666
opinabas,😊,1,1,1.0
😊,</s>,1,1,1.0
Ya,se,1,12,0.08333333333333333
se,fue,1,11,0.09090909090909091
niño,mimi,1,3,0.3333333333333333
Que,comeremos,1,6,0.16666666666666666
comeremos,nosotras,1,1,1.0
nosotras,mimi?,1,2,0.5
Si,ya,1,69,0.014492753623188406
vi,mimi,1,4,0.25
mimi,😒,1,98,0.01020408163265306
😒,</s>,1,1,1.0
<s>,Ni,1,396,0.0025252525252525255
Ni,idea,1,1,1.0
idea,bonita,1,1,1.0
se,me,1,11,0.09090909090909091
me,ocurre,1,24,0.041666666666666664
ocurre,algo,1,1,1.0
algo,mimi,1,3,0.3333333333333333
mimi,🫢,1,98,0.01020408163265306
ya,sabes,1,21,0.047619047619047616
sabes,que,1,1,1.0
hay,elevador,1,4,0.25
elevador,</s>,1,1,1.0
si,estoy,1,37,0.02702702702702703
estoy,algo,1,2,0.5
algo,cansada,1,3,0.3333333333333333
cansada,</s>,1,1,1.0
<s>,Quieres,1,396,0.0025252525252525255
Quieres,que,1,1,1.0
que,vea,1,96,0.010416666666666666
vea,si,1,1,1.0
si,pedimos,1,37,0.02702702702702703
pedimos,algo?,1,1,1.0
mimi,😂,1,98,0.01020408163265306
mimi,tienes,1,98,0.01020408163265306
tienes,razón,1,1,1.0
razón,</s>,1,2,0.5
No,me,1,10,0.1
me,habían,1,24,0.041666666666666664
habían,llegado,1,1,1.0
llegado,</s>,1,1,1.0
Gachas,💖,1,7,0.14285714285714285
Al,final,1,2,0.5
final,cual,1,2,0.5
cual,conectaste,1,1,1.0
conectaste,ahora,1,1,1.0
ahora,como,1,3,0.3333333333333333
como,Bluetooth?,1,10,0.1
Bluetooth?,</s>,1,1,1.0
mimi,el,1,98,0.01020408163265306
el,teclado,1,27,0.037037037037037035
teclado,quedo,1,1,1.0
quedo,Bluetooth,1,2,0.5
<s>,Lo,1,396,0.0025252525252525255
Lo,bueno,1,1,1.0
si,funciona,1,37,0.02702702702702703
funciona,todo,1,1,1.0
todo,</s>,1,5,0.2
<s>,Aquí,1,396,0.0025252525252525255
Aquí,estoy,1,1,1.0
estoy,en,1,2,0.5
el,inglés,1,27,0.037037037037037035
Porque,apenas,1,8,0.125
apenas,avisaron,1,1,1.0
avisaron,eso,1,1,1.0
eso,anoche,1,10,0.1
anoche,mimi,1,1,1.0
No,dejaste,1,10,0.1
dejaste,la,1,1,1.0
la,ropa,1,53,0.018867924528301886
ropa,verdad,1,1,1.0
verdad,mimi?,1,2,0.5
ahorita,las,1,4,0.25
las,metemos,1,12,0.08333333333333333
metemos,</s>,1,1,1.0
<s>,Sigue,1,396,0.0025252525252525255
Sigue,sin,1,1,1.0
sin,llenar,1,4,0.25
llenar,mimi,1,1,1.0
Yo,creo,1,6,0.16666666666666666
Para,empezar,1,5,0.2
empezar,a,1,3,0.3333333333333333
a,lavar,1,24,0.041666666666666664
lavar,si,1,1,1.0
Pero,para,1,13,0.07692307692307693
para,enjuagar,1,21,0.047619047619047616
enjuagar,no,1,1,1.0
Pero,es,1,13,0.07692307692307693
no,tengo,1,44,0.022727272727272728
Y,acompañe,1,10,0.1
acompañe,a,1,1,1.0
a,beto,1,24,0.041666666666666664
beto,a,1,1,1.0
a,cortarse,1,24,0.041666666666666664
cortarse,el,1,1,1.0
el,cabello,1,27,0.037037037037037035
cabello,</s>,1,1,1.0
Ya,ya,1,12,0.08333333333333333
Te,mando,1,2,0.5
mando,cuales?,1,2,0.5
cuales?,</s>,1,1,1.0
Voy,mimi,1,3,0.3333333333333333
no,pensé,1,44,0.022727272727272728
fiesta,</s>,1,2,0.5
Para,la,1,5,0.2
foto,si,1,4,0.25
me,podría,1,24,0.041666666666666664
podría,peinar,1,1,1.0
peinar,yo,1,2,0.5
yo,mimi,1,9,0.1111111111111111
O,si,1,4,0.25
si,te,1,37,0.02702702702702703
te,van,1,9,0.1111111111111111
van,a,1,1,1.0
a,peinar,1,24,0.041666666666666664
peinar,para,1,2,0.5
la,foto?,1,53,0.018867924528301886
foto?,</s>,1,1,1.0
Yo,digo,1,6,0.16666666666666666
digo,que,1,1,1.0
foto,no,1,4,0.25
no,hace,1,44,0.022727272727272728
hace,falta,1,2,0.5
falta,mimi,1,5,0.2
<s>,Deja,1,396,0.0025252525252525255
Deja,veo,1,1,1.0
veo,uno,1,1,1.0
uno,</s>,1,2,0.5
Y,tendría,1,10,0.1
tendría,que,1,1,1.0
que,ir,1,96,0.010416666666666666
ir,temprano,1,6,0.16666666666666666
temprano,la,1,2,0.5
la,chava,1,53,0.018867924528301886
chava,no,1,1,1.0
no,mimi?,1,44,0.022727272727272728
no,mejor,1,44,0.022727272727272728
mejor,si,1,4,0.25
si,yo,1,37,0.02702702702702703
yo,lo,1,9,0.1111111111111111
lo,hago,1,23,0.043478260869565216
hago,mimi,1,1,1.0
Porque,tal,1,8,0.125
vez,no,1,5,0.2
no,da,1,44,0.022727272727272728
da,tiempo,1,1,1.0
tiempo,</s>,1,3,0.3333333333333333
si,quedo,1,37,0.02702702702702703
quedo,la,1,2,0.5
cita,de,1,2,0.5
foto,muy,1,4,0.25
muy,temprano,1,4,0.25
temprano,</s>,1,2,0.5
Si,peina,1,69,0.014492753623188406
peina,bonito,1,1,1.0
Pues,entocnes,1,13,0.07692307692307693
entocnes,si,1,1,1.0
si,mejor,1,37,0.02702702702702703
mejor,para,1,4,0.25
el,peinado,1,27,0.037037037037037035
peinado,de,1,1,1.0
fiesta,de,1,2,0.5
de,graduación,1,43,0.023255813953488372
graduación,mimi,1,1,1.0
que,crees,1,96,0.010416666666666666
si,de,1,37,0.02702702702702703
de,tiempo,1,43,0.023255813953488372
tiempo,mimi?,1,3,0.3333333333333333
si,eso,1,37,0.02702702702702703
eso,si,1,10,0.1
las,11:30,1,12,0.08333333333333333
11:30,en,1,1,1.0
la,Jardin,1,53,0.018867924528301886
Jardin,Balbuena,1,1,1.0
Balbuena,</s>,1,1,1.0
<s>,Hijole,1,396,0.0025252525252525255
Hijole,🫢,1,1,1.0
pues,esta,1,4,0.25
Me,baño,1,4,0.25
baño,en,1,1,1.0
noche,</s>,1,3,0.3333333333333333
Voy,a,1,3,0.3333333333333333
a,comer,1,24,0.041666666666666664
comer,en,1,1,1.0
plaza,</s>,1,2,0.5
Por,que,1,5,0.2
que,bonita?,1,96,0.010416666666666666
Si,quiere,1,69,0.014492753623188406
quiere,que,1,3,0.3333333333333333
que,venga,1,96,0.010416666666666666
venga,que,1,1,1.0
que,nosotros,1,96,0.010416666666666666
Para,que,1,5,0.2
no,coma,1,44,0.022727272727272728
coma,solo,1,1,1.0
solo,</s>,1,3,0.3333333333333333
Si,el,1,69,0.014492753623188406
el,quiere,1,27,0.037037037037037035
quiere,si,1,3,0.3333333333333333
<s>,Apenas,1,396,0.0025252525252525255
Apenas,vamos,1,1,1.0
para,allá,1,21,0.047619047619047616
allá,</s>,1,1,1.0
<s>,Todavía,1,396,0.0025252525252525255
Todavía,no,1,1,1.0
no,salgo,1,44,0.022727272727272728
salgo,</s>,1,2,0.5
<s>,Vamos,1,396,0.0025252525252525255
Vamos,a,1,1,1.0
a,ir,1,24,0.041666666666666664
ir,al,1,6,0.16666666666666666
al,chilis,1,10,0.1
chilis,mimi,1,1,1.0
Y,de,1,10,0.1
de,ahí,1,43,0.023255813953488372
ahí,vemos,1,2,0.5
vemos,la,1,1,1.0
la,película,1,53,0.018867924528301886
película,</s>,1,1,1.0
Por,si,1,5,0.2
si,quiere,1,37,0.02702702702702703
quiere,ir,1,3,0.3333333333333333
ir,con,1,6,0.16666666666666666
con,nosotros,1,13,0.07692307692307693
Me,avisas,1,4,0.25
avisas,</s>,1,1,1.0
<s>,Seguro?,1,396,0.0025252525252525255
Seguro?,</s>,1,1,1.0
Bueno,esta,1,4,0.25
Pues,ahorita,1,13,0.07692307692307693
hablo,mimi,1,2,0.5
Ya,le,1,12,0.08333333333333333
le,hable,1,6,0.16666666666666666
hable,</s>,1,1,1.0
si,dice,1,37,0.02702702702702703
Pues,ya,1,13,0.07692307692307693
ya,voy,1,21,0.047619047619047616
voy,para,1,3,0.3333333333333333
plaza,mimi,1,2,0.5
<s>,🩵,1,396,0.0025252525252525255
🩵,</s>,1,1,1.0
me,podrías,1,24,0.041666666666666664
podrías,imprimir,1,2,0.5
imprimir,unas,1,1,1.0
unas,hojas,1,1,1.0
hojas,a,1,1,1.0
a,color?,1,24,0.041666666666666664
color?,</s>,1,1,1.0
Por,favor,1,5,0.2
favor,</s>,1,1,1.0
que,en,1,96,0.010416666666666666
tu,impresora,1,2,0.5
impresora,salen,1,1,1.0
salen,bonitas,1,1,1.0
bonitas,</s>,1,1,1.0
Gachas,</s>,1,7,0.14285714285714285
Te,los,1,2,0.5
los,mando,1,7,0.14285714285714285
mando,por,1,2,0.5
por,aquí,1,7,0.14285714285714285
aquí,mimi?,1,1,1.0
O,por,1,4,0.25
por,correo,1,7,0.14285714285714285
correo,mejor?,1,1,1.0
mejor?,</s>,1,1,1.0
Ya,bonita,1,12,0.08333333333333333
que,ayer,1,96,0.010416666666666666
ayer,ya,1,1,1.0
te,conté,1,9,0.1111111111111111
conté,</s>,1,1,1.0
Pero,en,1,13,0.07692307692307693
en,mi,1,28,0.03571428571428571
mi,escuela,1,14,0.07142857142857142
escuela,si,1,6,0.16666666666666666
me,harán,1,24,0.041666666666666664
harán,válidos,1,1,1.0
válidos,los,1,1,1.0
los,4,1,7,0.14285714285714285
4,meses,1,1,1.0
meses,de,1,2,0.5
de,servicio,1,43,0.023255813953488372
servicio,que,1,2,0.5
Porque,como,1,8,0.125
como,si,1,10,0.1
si,están,1,37,0.02702702702702703
están,validados,1,3,0.3333333333333333
validados,en,1,1,1.0
el,sistema,1,27,0.037037037037037035
sistema,</s>,1,1,1.0
Me,dijeron,1,4,0.25
lo,termino,1,23,0.043478260869565216
termino,ahí,1,1,1.0
ahí,en,1,2,0.5
El,mes,1,2,0.5
mes,que,1,1,1.0
me,falta,1,24,0.041666666666666664
falta,</s>,1,5,0.2
Los,otros,1,2,0.5
otros,si,1,1,1.0
si,los,1,37,0.02702702702702703
los,tengo,1,7,0.14285714285714285
tengo,a,1,7,0.14285714285714285
a,color,1,24,0.041666666666666664
color,</s>,1,1,1.0
Holiiii,mimi,1,4,0.25
chi,</s>,1,2,0.5
chi,mimi,1,2,0.5
Los,quieres,1,2,0.5
quieres,para,1,1,1.0
para,ti,1,21,0.047619047619047616
ti,bonita?,1,1,1.0
Pues,para,1,13,0.07692307692307693
el,están,1,27,0.037037037037037035
bonita,creo,1,13,0.07692307692307693
sería,el,1,2,0.5
el,mejor,1,27,0.037037037037037035
mejor,</s>,1,4,0.25
De,nada,1,2,0.5
<s>,sip,1,396,0.0025252525252525255
sip,</s>,1,1,1.0
Holi,"mimi,",1,9,0.1111111111111111
"mimi,",le,1,2,0.5
le,puedes,1,6,0.16666666666666666
puedes,decir,1,1,1.0
decir,a,1,2,0.5
mi,papá,1,14,0.07142857142857142
papá,que,1,1,1.0
me,puede,1,24,0.041666666666666664
puede,pasar,1,7,0.14285714285714285
pasar,el,1,1,1.0
el,numero,1,27,0.037037037037037035
numero,de,1,1,1.0
de,su,1,43,0.023255813953488372
su,celular,1,3,0.3333333333333333
celular,de,1,1,1.0
mi,madrina,1,14,0.07142857142857142
madrina,pofavo.,1,1,1.0
pofavo.,</s>,1,1,1.0
<s>,Ahi,1,396,0.0025252525252525255
Ahi,cuando,1,1,1.0
cuando,pueda,1,3,0.3333333333333333
pueda,que,1,3,0.3333333333333333
me,lo,1,24,0.041666666666666664
lo,mande,1,23,0.043478260869565216
mande,</s>,1,1,1.0
<s>,gachas,1,396,0.0025252525252525255
<s>,❤,1,396,0.0025252525252525255
❤,</s>,1,1,1.0
<s>,Holiii,1,396,0.0025252525252525255
Holiii,</s>,1,1,1.0
Es,cabito,1,15,0.06666666666666667
cabito,🫢,1,1,1.0
Si,es,1,69,0.014492753623188406
es,mi,1,23,0.043478260869565216
mi,pantalón,1,14,0.07142857142857142
pantalón,que,1,1,1.0
que,quería,1,96,0.010416666666666666
quería,mimi,1,2,0.5
También,el,1,2,0.5
de,bershka,1,43,0.023255813953488372
bershka,esta,1,1,1.0
esta,bonito,1,9,0.1111111111111111
si,al,1,37,0.02702702702702703
rato,podemos,1,5,0.2
podemos,verlos,1,1,1.0
verlos,</s>,1,1,1.0
Oye,mimi,1,2,0.5
mimi,crees,1,98,0.01020408163265306
que,pueda,1,96,0.010416666666666666
pueda,ir,1,3,0.3333333333333333
Axel,con,1,3,0.3333333333333333
con,Cata,1,13,0.07692307692307693
Cata,es,1,1,1.0
me,queda,1,24,0.041666666666666664
queda,algo,1,1,1.0
algo,de,1,3,0.3333333333333333
mi,trabajo,1,14,0.07142857142857142
trabajo,terminal,1,1,1.0
terminal,qué,1,1,1.0
qué,he,1,1,1.0
he,intentado,1,1,1.0
intentado,toda,1,1,1.0
toda,la,1,1,1.0
la,semana,1,53,0.018867924528301886
semana,</s>,1,1,1.0
de,lo,1,43,0.023255813953488372
que,pagaste,1,96,0.010416666666666666
pagaste,las,1,1,1.0
las,clases,1,12,0.08333333333333333
clases,</s>,1,1,1.0
<s>,la,1,396,0.0025252525252525255
la,otra,1,53,0.018867924528301886
Pero,pues,1,13,0.07692307692307693
pues,ahora,1,4,0.25
si,pensaba,1,37,0.02702702702702703
pensaba,decirle,1,1,1.0
decirle,</s>,1,1,1.0
le,aviso,1,6,0.16666666666666666
aviso,</s>,1,1,1.0
