Term 1,Term 2,frequency of bigram,frequency of context (Term 1), conditional probability of bigram
<s>,Mily,2,396,0.005050505050505051
Ya,estamos,2,12,0.16666666666666666
Va,Citlalli,2,3,0.6666666666666666
del,modelo,2,5,0.4
modelo,</s>,2,2,1.0
<s>,Se,2,396,0.005050505050505051
no,te,2,44,0.045454545454545456
que,también,2,96,0.020833333333333332
también,ya,2,8,0.25
ya,me,2,21,0.09523809523809523
Creo,que,2,3,0.6666666666666666
jajajaja,</s>,2,2,1.0
<s>,Oye,2,396,0.005050505050505051
que,usabas,2,96,0.020833333333333332
key,</s>,2,3,0.6666666666666666
<s>,para,2,396,0.005050505050505051
probar,</s>,2,4,0.5
dice,que,2,3,0.6666666666666666
no,me,2,44,0.045454545454545456
seguro,es,2,4,0.5
la,información,2,53,0.03773584905660377
no,hay,2,44,0.045454545454545456
que,fui,2,96,0.020833333333333332
fui,no,2,3,0.6666666666666666
no,estaba,2,44,0.045454545454545456
estaba,</s>,2,3,0.6666666666666666
voy,a,2,3,0.6666666666666666
ver,si,2,7,0.2857142857142857
No,pues,2,10,0.2
😂,</s>,2,2,1.0
no,mimi,2,44,0.045454545454545456
están,bien,2,3,0.6666666666666666
❤‍🩹,</s>,2,2,1.0
bueno,es,2,7,0.2857142857142857
el,de,2,27,0.07407407407407407
no,se,2,44,0.045454545454545456
no,en,2,44,0.045454545454545456
noche,lo,2,3,0.6666666666666666
lo,checo,2,23,0.08695652173913043
en,tu,2,28,0.07142857142857142
Pues,si,2,13,0.15384615384615385
bueno,mimi,2,7,0.2857142857142857
<s>,Al,2,396,0.005050505050505051
rato,me,2,5,0.4
<s>,Bien,2,396,0.005050505050505051
Bien,mimi,2,2,1.0
Mimi,me,2,4,0.5
ahora,si,2,3,0.6666666666666666
pensé,que,2,2,1.0
la,casa,2,53,0.03773584905660377
casa,</s>,2,2,1.0
le,hablo,2,6,0.3333333333333333
el,niño,2,27,0.07407407407407407
<s>,El,2,396,0.005050505050505051
ir,Axel,2,6,0.3333333333333333
al,rato,2,10,0.2
vamos,para,2,4,0.5
inglés,</s>,2,2,1.0
Y,si,2,10,0.2
mimi,ahorita,2,98,0.02040816326530612
tengo,datos,2,7,0.2857142857142857
<s>,Te,2,396,0.005050505050505051
Ah,no,2,4,0.5
que,para,2,96,0.020833333333333332
la,fiesta,2,53,0.03773584905660377
bonito,</s>,2,2,1.0
crees,que,2,2,1.0
mimi,gachas,2,98,0.02040816326530612
la,plaza,2,53,0.03773584905660377
nosotros,</s>,2,2,1.0
ahorita,le,2,4,0.5
que,me,2,96,0.020833333333333332
<s>,Los,2,396,0.005050505050505051
<s>,chi,2,396,0.005050505050505051
<s>,Hola,1,396,0.0025252525252525255
Hola,Mily,1,1,1.0
<s>,Quieren,1,396,0.0025252525252525255
Quieren,que,1,1,1.0
se,los,1,11,0.09090909090909091
los,mande?,1,7,0.14285714285714285
mande?,</s>,1,1,1.0
<s>,Real,1,396,0.0025252525252525255
Real,jajajaj,1,1,1.0
La,verdadera,1,2,0.5
verdadera,traición,1,1,1.0
traición,owo,1,1,1.0
owo,</s>,1,1,1.0
Mily,era,1,20,0.05
era,la,1,2,0.5
la,única,1,53,0.018867924528301886
única,que,1,1,1.0
que,había,1,96,0.010416666666666666
había,jajaja,1,1,1.0
bien,Citlalli,1,16,0.0625
ya,solo,1,21,0.047619047619047616
solo,tengo,1,3,0.3333333333333333
tengo,tres,1,7,0.14285714285714285
tres,materias,1,1,1.0
materias,jajaja,1,1,1.0
Y,ustedes,1,10,0.1
ustedes,como,1,2,0.5
se,sienten,1,11,0.09090909090909091
sienten,en,1,1,1.0
la,tarde?,1,53,0.018867924528301886
tarde?,</s>,1,1,1.0
<s>,Todo,1,396,0.0025252525252525255
Todo,bien?,1,1,1.0
bien?,</s>,1,1,1.0
<s>,Uy,1,396,0.0025252525252525255
Uy,JAJAJA,1,1,1.0
<s>,Castigo,1,396,0.0025252525252525255
Castigo,o,1,1,1.0
o,premio?,1,2,0.5
premio?,</s>,1,1,1.0
<s>,Ajajaja,1,396,0.0025252525252525255
Ajajaja,</s>,1,1,1.0
Ay,si,1,2,0.5
si,es,1,37,0.02702702702702703
que,distribuidos,1,96,0.010416666666666666
distribuidos,es,1,1,1.0
es,aburrido,1,23,0.043478260869565216
aburrido,</s>,1,1,1.0
Pero,no,1,13,0.07692307692307693
no,duermes,1,44,0.022727272727272728
duermes,un,1,1,1.0
un,poquito,1,3,0.3333333333333333
poquito,más,1,1,1.0
más,Citlalli?,1,5,0.2
Citlalli?,</s>,1,1,1.0
<s>,Jajajaja,1,396,0.0025252525252525255
Jajajaja,</s>,1,1,1.0
También,puede,1,2,0.5
ser,que,1,3,0.3333333333333333
es,porque,1,23,0.043478260869565216
porque,antes,1,6,0.16666666666666666
antes,llegabas,1,2,0.5
llegabas,y,1,1,1.0
y,te,1,6,0.16666666666666666
te,echabas,1,9,0.1111111111111111
echabas,una,1,1,1.0
una,siesta,1,5,0.2
siesta,jajaja,1,1,1.0
